,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,12:10 PM,03:10 PM,Giants at Angels,Tempe Diablo Stadium - Tempe,Local TV: PRIME ----- Local Radio: KLAA 830,02/23/19,02/23/19,03:10 PM,06:10 PM,False,True,02/23/19,11:10 AM,02:10 PM,FREE,BUSY
1,02/24/19,12:10 PM,03:10 PM,Reds at Angels,Tempe Diablo Stadium - Tempe,Local TV: FS-W ----- Local Radio: KLAA 830,02/24/19,02/24/19,03:10 PM,06:10 PM,False,True,02/24/19,11:10 AM,02:10 PM,FREE,BUSY
2,02/25/19,12:10 PM,03:10 PM,Brewers at Angels,Tempe Diablo Stadium - Tempe,Local TV: FS-W ----- Local Radio: KLAA 830,02/25/19,02/25/19,03:10 PM,06:10 PM,False,True,02/25/19,11:10 AM,02:10 PM,FREE,BUSY
3,02/28/19,12:10 PM,03:10 PM,Rangers at Angels,Tempe Diablo Stadium - Tempe,Local TV: FS-W ----- Local Radio: KLAA 830,02/28/19,02/28/19,03:10 PM,06:10 PM,False,True,02/28/19,11:10 AM,02:10 PM,FREE,BUSY
4,03/01/19,12:10 PM,03:10 PM,Royals at Angels,Tempe Diablo Stadium - Tempe,Local TV: FS-W ----- Local Radio: KLAA 830,03/01/19,03/01/19,03:10 PM,06:10 PM,False,True,03/01/19,11:10 AM,02:10 PM,FREE,BUSY
5,03/03/19,12:10 PM,03:10 PM,Athletics at Angels,Tempe Diablo Stadium - Tempe,Local TV: FS-W+ ----- Local Radio: KLAA 830,03/03/19,03/03/19,03:10 PM,06:10 PM,False,True,03/03/19,11:10 AM,02:10 PM,FREE,BUSY
6,03/05/19,12:10 PM,03:10 PM,Cubs at Angels,Tempe Diablo Stadium - Tempe,Local TV: FS-W ----- Local Radio: KLAA 830,03/05/19,03/05/19,03:10 PM,06:10 PM,False,True,03/05/19,11:10 AM,02:10 PM,FREE,BUSY
7,03/07/19,12:10 PM,03:10 PM,Dodgers at Angels,Tempe Diablo Stadium - Tempe,Local TV: FS-W ----- Local Radio: KLAA 830,03/07/19,03/07/19,03:10 PM,06:10 PM,False,True,03/07/19,11:10 AM,02:10 PM,FREE,BUSY
8,03/08/19,12:10 PM,03:10 PM,White Sox at Angels,Tempe Diablo Stadium - Tempe,Local TV: FS-W ----- Local Radio: KLAA 830,03/08/19,03/08/19,03:10 PM,06:10 PM,False,True,03/08/19,11:10 AM,02:10 PM,FREE,BUSY
9,03/09/19,12:10 PM,03:10 PM,Brewers at Angels,Tempe Diablo Stadium - Tempe,Local TV: FS-W ----- Local Radio: KLAA 830,03/09/19,03/09/19,03:10 PM,06:10 PM,False,True,03/09/19,11:10 AM,02:10 PM,FREE,BUSY
10,03/10/19,01:10 PM,04:10 PM,Mariners at Angels,Tempe Diablo Stadium - Tempe,Local TV: FS-W ----- Local Radio: KLAA 830,03/10/19,03/10/19,04:10 PM,07:10 PM,False,True,03/10/19,12:10 PM,03:10 PM,FREE,BUSY
