,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/24/19,12:05 PM,01:05 PM,Braves at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790 AM/94.5 FM HD-2,02/24/19,02/24/19,03:05 PM,04:05 PM,False,True,02/24/19,11:05 AM,12:05 PM,FREE,BUSY
1,02/25/19,12:05 PM,01:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ATT SportsNet-SW- MLBN (out-of-market only) ----- Local Radio: KBME 790 AM/94.5 FM HD-2,02/25/19,02/25/19,03:05 PM,04:05 PM,False,True,02/25/19,11:05 AM,12:05 PM,FREE,BUSY
2,02/28/19,12:05 PM,01:05 PM,Marlins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ATT SportsNet-SW- ESPN+ ----- Local Radio: KBME 790 AM/94.5 FM HD-2,02/28/19,02/28/19,03:05 PM,04:05 PM,False,True,02/28/19,11:05 AM,12:05 PM,FREE,BUSY
3,03/01/19,05:05 PM,06:05 PM,Cardinals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: KBME 790 AM/94.5 FM HD-2,03/01/19,03/01/19,08:05 PM,09:05 PM,False,True,03/01/19,04:05 PM,05:05 PM,FREE,BUSY
4,03/04/19,12:05 PM,01:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: KBME 790 AM/94.5 FM HD-2,03/04/19,03/04/19,03:05 PM,04:05 PM,False,True,03/04/19,11:05 AM,12:05 PM,FREE,BUSY
5,03/06/19,12:05 PM,01:05 PM,Marlins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: KBME 790 (delay),03/06/19,03/06/19,03:05 PM,04:05 PM,False,True,03/06/19,11:05 AM,12:05 PM,FREE,BUSY
6,03/08/19,05:05 PM,06:05 PM,Cardinals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: KBME 790 AM/94.5 FM HD-2,03/08/19,03/08/19,08:05 PM,09:05 PM,False,True,03/08/19,04:05 PM,05:05 PM,FREE,BUSY
7,03/10/19,12:05 PM,01:05 PM,Nationals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790 AM/94.5 FM HD-2,03/10/19,03/10/19,03:05 PM,04:05 PM,False,True,03/10/19,11:05 AM,12:05 PM,FREE,BUSY
8,03/11/19,12:05 PM,01:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ATT SportsNet-SW- MLBN (out-of-market only) ----- Local Radio: KBME 790 AM/94.5 FM HD-2,03/11/19,03/11/19,03:05 PM,04:05 PM,False,True,03/11/19,11:05 AM,12:05 PM,FREE,BUSY
9,03/14/19,12:05 PM,01:05 PM,Marlins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790 (delay),03/14/19,03/14/19,03:05 PM,04:05 PM,False,True,03/14/19,11:05 AM,12:05 PM,FREE,BUSY
10,03/15/19,05:05 PM,06:05 PM,Cardinals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: KBME 790 AM/94.5 FM HD-2,03/15/19,03/15/19,08:05 PM,09:05 PM,False,True,03/15/19,04:05 PM,05:05 PM,FREE,BUSY
11,03/20/19,12:05 PM,01:05 PM,Yankees at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ATT SportsNet-SW- MLBN (out-of-market only) ----- Local Radio: KBME 790 AM/94.5 FM HD-2,03/20/19,03/20/19,03:05 PM,04:05 PM,False,True,03/20/19,11:05 AM,12:05 PM,FREE,BUSY
12,03/22/19,05:05 PM,06:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: KBME 790 AM/94.5 FM HD-2,03/22/19,03/22/19,08:05 PM,09:05 PM,False,True,03/22/19,04:05 PM,05:05 PM,FREE,BUSY
13,03/24/19,12:05 PM,01:05 PM,Nationals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: KBME 790 AM/94.5 FM HD-2,03/24/19,03/24/19,03:05 PM,04:05 PM,False,True,03/24/19,11:05 AM,12:05 PM,FREE,BUSY
14,03/25/19,07:10 PM,08:10 PM,Pirates at Astros,Minute Maid Park - Houston,Local Radio: KBME 790 AM/94.5 FM HD-2- La Ranchera 850 AM,03/25/19,03/25/19,10:10 PM,11:10 PM,False,True,03/25/19,06:10 PM,07:10 PM,FREE,BUSY
15,03/26/19,01:10 PM,02:10 PM,Pirates at Astros,Minute Maid Park - Houston,Local Radio: La Ranchera 850 AM,03/26/19,03/26/19,04:10 PM,05:10 PM,False,True,03/26/19,12:10 PM,01:10 PM,FREE,BUSY
16,04/05/19,07:10 PM,08:10 PM,Athletics at Astros,Minute Maid Park - Houston,Local TV: ATT SportsNet-SW- MLBN (out-of-market only) ----- Local Radio: KBME 790 AM/94.5 FM HD-2- La Ranchera 850 AM,04/05/19,04/05/19,10:10 PM,11:10 PM,False,True,04/05/19,06:10 PM,07:10 PM,FREE,BUSY
