,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,12:05 PM,03:05 PM,White Sox at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,02/23/19,02/23/19,03:05 PM,06:05 PM,False,True,02/23/19,11:05 AM,02:05 PM,FREE,BUSY
1,02/24/19,12:05 PM,03:05 PM,Royals at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,02/24/19,02/24/19,03:05 PM,06:05 PM,False,True,02/24/19,11:05 AM,02:05 PM,FREE,BUSY
2,02/26/19,12:05 PM,03:05 PM,Angels at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,02/26/19,02/26/19,03:05 PM,06:05 PM,False,True,02/26/19,11:05 AM,02:05 PM,FREE,BUSY
3,02/27/19,12:05 PM,03:05 PM,Dodgers at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,02/27/19,02/27/19,03:05 PM,06:05 PM,False,True,02/27/19,11:05 AM,02:05 PM,FREE,BUSY
4,03/01/19,12:05 PM,03:05 PM,Rockies at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,03/01/19,03/01/19,03:05 PM,06:05 PM,False,True,03/01/19,11:05 AM,02:05 PM,FREE,BUSY
5,03/02/19,12:05 PM,03:05 PM,Indians at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,03/02/19,03/02/19,03:05 PM,06:05 PM,False,True,03/02/19,11:05 AM,02:05 PM,FREE,BUSY
6,03/05/19,12:05 PM,03:05 PM,Rangers at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,03/05/19,03/05/19,03:05 PM,06:05 PM,False,True,03/05/19,11:05 AM,02:05 PM,FREE,BUSY
7,03/08/19,12:05 PM,03:05 PM,Padres at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,03/08/19,03/08/19,03:05 PM,06:05 PM,False,True,03/08/19,11:05 AM,02:05 PM,FREE,BUSY
8,03/09/19,12:05 PM,03:05 PM,Brewers at Athletics,Hohokam Stadium - Mesa,Local Radio: KTRB 860,03/09/19,03/09/19,03:05 PM,06:05 PM,False,True,03/09/19,11:05 AM,02:05 PM,FREE,BUSY
9,03/10/19,01:05 PM,04:05 PM,Giants at Athletics,Hohokam Stadium - Mesa,Local TV: NBCSCA ----- Local Radio: KTRB 860,03/10/19,03/10/19,04:05 PM,07:05 PM,False,True,03/10/19,12:05 PM,03:05 PM,FREE,BUSY
