,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,01:07 PM,01:07 PM,Tigers at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: SN590,02/23/19,02/23/19,04:07 PM,04:07 PM,False,True,02/23/19,12:07 PM,12:07 PM,FREE,BUSY
1,02/28/19,01:07 PM,01:07 PM,Phillies at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,02/28/19,02/28/19,04:07 PM,04:07 PM,False,True,02/28/19,12:07 PM,12:07 PM,FREE,BUSY
2,03/01/19,01:07 PM,01:07 PM,Pirates at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,03/01/19,03/01/19,04:07 PM,04:07 PM,False,True,03/01/19,12:07 PM,12:07 PM,FREE,BUSY
3,03/02/19,01:07 PM,01:07 PM,Rays at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: SN590,03/02/19,03/02/19,04:07 PM,04:07 PM,False,True,03/02/19,12:07 PM,12:07 PM,FREE,BUSY
4,03/03/19,01:07 PM,01:07 PM,Yankees at Blue Jays,Dunedin Stadium - Dunedin,Local TV: SN ----- Local Radio: SN590,03/03/19,03/03/19,04:07 PM,04:07 PM,False,True,03/03/19,12:07 PM,12:07 PM,FREE,BUSY
5,03/06/19,01:07 PM,01:07 PM,Phillies at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,03/06/19,03/06/19,04:07 PM,04:07 PM,False,True,03/06/19,12:07 PM,12:07 PM,FREE,BUSY
6,03/08/19,01:07 PM,01:07 PM,Pirates at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,03/08/19,03/08/19,04:07 PM,04:07 PM,False,True,03/08/19,12:07 PM,12:07 PM,FREE,BUSY
7,03/12/19,01:07 PM,01:07 PM,Rays at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: SN590,03/12/19,03/12/19,04:07 PM,04:07 PM,False,True,03/12/19,12:07 PM,12:07 PM,FREE,BUSY
8,03/14/19,01:07 PM,01:07 PM,Yankees at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: SN590,03/14/19,03/14/19,04:07 PM,04:07 PM,False,True,03/14/19,12:07 PM,12:07 PM,FREE,BUSY
9,03/16/19,01:07 PM,01:07 PM,Orioles at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: SN590,03/16/19,03/16/19,04:07 PM,04:07 PM,False,True,03/16/19,12:07 PM,12:07 PM,FREE,BUSY
10,03/17/19,01:07 PM,01:07 PM,Twins at Blue Jays,Dunedin Stadium - Dunedin,Local TV: SN- MLBN (out-of-market only) ----- Local Radio: SN590,03/17/19,03/17/19,04:07 PM,04:07 PM,False,True,03/17/19,12:07 PM,12:07 PM,FREE,BUSY
11,03/18/19,01:07 PM,01:07 PM,Tigers at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,03/18/19,03/18/19,04:07 PM,04:07 PM,False,True,03/18/19,12:07 PM,12:07 PM,FREE,BUSY
12,03/20/19,01:07 PM,01:07 PM,Braves at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,03/20/19,03/20/19,04:07 PM,04:07 PM,False,True,03/20/19,12:07 PM,12:07 PM,FREE,BUSY
13,03/22/19,06:07 PM,06:07 PM,Orioles at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: MLB.com,03/22/19,03/22/19,09:07 PM,09:07 PM,False,True,03/22/19,05:07 PM,05:07 PM,FREE,BUSY
14,03/23/19,01:07 PM,01:07 PM,Canada Jr. Team at Blue Jays,Dunedin Stadium - Dunedin,Local Radio: SN590,03/23/19,03/23/19,04:07 PM,04:07 PM,False,True,03/23/19,12:07 PM,12:07 PM,FREE,BUSY
15,03/25/19,07:05 PM,07:05 PM,Brewers at Blue Jays,Olympic Stadium - Montreal,Local TV: SN ----- Local Radio: SN590,03/25/19,03/25/19,10:05 PM,10:05 PM,False,True,03/25/19,06:05 PM,06:05 PM,FREE,BUSY
16,03/26/19,07:05 PM,07:05 PM,Brewers at Blue Jays,Olympic Stadium - Montreal,Local TV: SN- MLBN (out-of-market only),03/26/19,03/26/19,10:05 PM,10:05 PM,False,True,03/26/19,06:05 PM,06:05 PM,FREE,BUSY
17,03/28/19,03:37 PM,03:37 PM,Tigers at Blue Jays,Rogers Centre - Toronto,Local TV: SNET ----- Local Radio: SN590,03/28/19,03/28/19,06:37 PM,06:37 PM,False,True,03/28/19,02:37 PM,02:37 PM,FREE,BUSY
18,03/29/19,07:07 PM,07:07 PM,Tigers at Blue Jays,Rogers Centre - Toronto,Local TV: SNET-1 ----- Local Radio: SN590,03/29/19,03/29/19,10:07 PM,10:07 PM,False,True,03/29/19,06:07 PM,06:07 PM,FREE,BUSY
19,03/30/19,03:07 PM,03:07 PM,Tigers at Blue Jays,Rogers Centre - Toronto,Local TV: SNET ----- Local Radio: SN590,03/30/19,03/30/19,06:07 PM,06:07 PM,False,True,03/30/19,02:07 PM,02:07 PM,FREE,BUSY
20,03/31/19,01:07 PM,01:07 PM,Tigers at Blue Jays,Rogers Centre - Toronto,Local TV: SNET- TVA Sports- OMNI ----- Local Radio: SN590,03/31/19,03/31/19,04:07 PM,04:07 PM,False,True,03/31/19,12:07 PM,12:07 PM,FREE,BUSY
21,04/01/19,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,Local TV: SNET-1 ----- Local Radio: SN590,04/01/19,04/01/19,10:07 PM,10:07 PM,False,True,04/01/19,06:07 PM,06:07 PM,FREE,BUSY
22,04/02/19,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,Local TV: SNET- SNET-1 ----- Local Radio: SN590,04/02/19,04/02/19,10:07 PM,10:07 PM,False,True,04/02/19,06:07 PM,06:07 PM,FREE,BUSY
23,04/03/19,04:07 PM,04:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,Local TV: SNET ----- Local Radio: SN590,04/03/19,04/03/19,07:07 PM,07:07 PM,False,True,04/03/19,03:07 PM,03:07 PM,FREE,BUSY
24,04/12/19,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,Local TV: SNET-1 ----- Local Radio: SN590,04/12/19,04/12/19,10:07 PM,10:07 PM,False,True,04/12/19,06:07 PM,06:07 PM,FREE,BUSY
