,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/26/19,02:05 PM,03:05 PM,Padres at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,02/26/19,02/26/19,05:05 PM,06:05 PM,False,True,02/26/19,01:05 PM,02:05 PM,FREE,BUSY
1,02/27/19,02:05 PM,03:05 PM,Indians at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: 94.5 ESPN Milwaukee,02/27/19,02/27/19,05:05 PM,06:05 PM,False,True,02/27/19,01:05 PM,02:05 PM,FREE,BUSY
2,02/28/19,02:05 PM,03:05 PM,Giants at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI,02/28/19,02/28/19,05:05 PM,06:05 PM,False,True,02/28/19,01:05 PM,02:05 PM,FREE,BUSY
3,03/03/19,02:05 PM,03:05 PM,Reds at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,03/03/19,03/03/19,05:05 PM,06:05 PM,False,True,03/03/19,01:05 PM,02:05 PM,FREE,BUSY
4,03/06/19,02:05 PM,03:05 PM,D-backs at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,03/06/19,03/06/19,05:05 PM,06:05 PM,False,True,03/06/19,01:05 PM,02:05 PM,FREE,BUSY
5,03/08/19,01:05 PM,02:05 PM,D-backs at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,03/08/19,03/08/19,04:05 PM,05:05 PM,False,True,03/08/19,12:05 PM,01:05 PM,FREE,BUSY
6,03/10/19,03:05 PM,04:05 PM,Cubs at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: 94.5 ESPN Milwaukee,03/10/19,03/10/19,06:05 PM,07:05 PM,False,True,03/10/19,02:05 PM,03:05 PM,FREE,BUSY
7,03/11/19,03:05 PM,04:05 PM,White Sox at Brewers,American Family Fields of Phoenix - Phoenix,Local Radio: 94.5 ESPN Milwaukee,03/11/19,03/11/19,06:05 PM,07:05 PM,False,True,03/11/19,02:05 PM,03:05 PM,FREE,BUSY
8,03/14/19,03:05 PM,04:05 PM,Angels at Brewers,American Family Fields of Phoenix - Phoenix,Local TV: FSWI ----- Local Radio: WTMJ 620,03/14/19,03/14/19,06:05 PM,07:05 PM,False,True,03/14/19,02:05 PM,03:05 PM,FREE,BUSY
9,03/15/19,03:05 PM,04:05 PM,Padres at Brewers,American Family Fields of Phoenix - Phoenix,Local Radio: MLB.com,03/15/19,03/15/19,06:05 PM,07:05 PM,False,True,03/15/19,02:05 PM,03:05 PM,FREE,BUSY
