,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,02:05 PM,03:05 PM,Brewers at Cubs,Sloan Park - Mesa,Local Radio: 670 The Score,02/23/19,02/23/19,05:05 PM,06:05 PM,False,True,02/23/19,01:05 PM,02:05 PM,FREE,BUSY
1,02/25/19,02:05 PM,03:05 PM,Padres at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,02/25/19,02/25/19,05:05 PM,06:05 PM,False,True,02/25/19,01:05 PM,02:05 PM,FREE,BUSY
2,02/26/19,02:05 PM,03:05 PM,D-backs at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,02/26/19,02/26/19,05:05 PM,06:05 PM,False,True,02/26/19,01:05 PM,02:05 PM,FREE,BUSY
3,02/28/19,02:05 PM,03:05 PM,Athletics at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,02/28/19,02/28/19,05:05 PM,06:05 PM,False,True,02/28/19,01:05 PM,02:05 PM,FREE,BUSY
4,03/02/19,02:05 PM,03:05 PM,Brewers at Cubs,Sloan Park - Mesa,Local TV: WGN ----- Local Radio: 670 The Score,03/02/19,03/02/19,05:05 PM,06:05 PM,False,True,03/02/19,01:05 PM,02:05 PM,FREE,BUSY
5,03/03/19,02:05 PM,03:05 PM,White Sox at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/03/19,03/03/19,05:05 PM,06:05 PM,False,True,03/03/19,01:05 PM,02:05 PM,FREE,BUSY
6,03/06/19,02:05 PM,03:05 PM,Royals at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/06/19,03/06/19,05:05 PM,06:05 PM,False,True,03/06/19,01:05 PM,02:05 PM,FREE,BUSY
7,03/07/19,02:05 PM,03:05 PM,Rockies at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/07/19,03/07/19,05:05 PM,06:05 PM,False,True,03/07/19,01:05 PM,02:05 PM,FREE,BUSY
8,03/09/19,02:05 PM,03:05 PM,Angels at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/09/19,03/09/19,05:05 PM,06:05 PM,False,True,03/09/19,01:05 PM,02:05 PM,FREE,BUSY
9,03/12/19,09:05 PM,10:05 PM,Reds at Cubs,Sloan Park - Mesa,Local Radio: MLB.com,03/13/19,03/13/19,12:05 AM,01:05 AM,False,True,03/12/19,08:05 PM,09:05 PM,FREE,BUSY
