,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,01:10 PM,03:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local Radio: 98.7 FM Arizona's Sports Station,02/23/19,02/23/19,04:10 PM,06:10 PM,False,True,02/23/19,12:10 PM,02:10 PM,FREE,BUSY
1,02/25/19,01:10 PM,03:10 PM,Athletics at D-backs,Salt River Fields at Talking Stick - Scottsdale,,02/25/19,02/25/19,04:10 PM,06:10 PM,False,True,02/25/19,12:10 PM,02:10 PM,FREE,BUSY
2,02/28/19,01:10 PM,03:10 PM,Indians at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local Radio: MLB.com,02/28/19,02/28/19,04:10 PM,06:10 PM,False,True,02/28/19,12:10 PM,02:10 PM,FREE,BUSY
3,03/01/19,01:10 PM,03:10 PM,Cubs at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local TV: FS-A,03/01/19,03/01/19,04:10 PM,06:10 PM,False,True,03/01/19,12:10 PM,02:10 PM,FREE,BUSY
4,03/02/19,01:10 PM,03:10 PM,Dodgers at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local Radio: 98.7 FM Arizona's Sports Station,03/02/19,03/02/19,04:10 PM,06:10 PM,False,True,03/02/19,12:10 PM,02:10 PM,FREE,BUSY
5,03/04/19,01:10 PM,03:10 PM,Reds at D-backs,Salt River Fields at Talking Stick - Scottsdale,,03/04/19,03/04/19,04:10 PM,06:10 PM,False,True,03/04/19,12:10 PM,02:10 PM,FREE,BUSY
6,03/07/19,01:10 PM,03:10 PM,Indians at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local TV: FS-A ----- Local Radio: MLB.com,03/07/19,03/07/19,04:10 PM,06:10 PM,False,True,03/07/19,12:10 PM,02:10 PM,FREE,BUSY
7,03/09/19,01:10 PM,03:10 PM,Royals at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local TV: FS-A ----- Local Radio: 98.7 FM Arizona's Sports Station,03/09/19,03/09/19,04:10 PM,06:10 PM,False,True,03/09/19,12:10 PM,02:10 PM,FREE,BUSY
8,03/10/19,02:10 PM,05:10 PM,Rockies at D-backs,Estadio de Beisbol Monterrey - Monterrey,Local Radio: KHOV 105.1,03/10/19,03/10/19,05:10 PM,08:10 PM,False,True,03/10/19,01:10 PM,04:10 PM,FREE,BUSY
9,03/14/19,01:10 PM,04:10 PM,Giants at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local Radio: MLB.com,03/14/19,03/14/19,04:10 PM,07:10 PM,False,True,03/14/19,12:10 PM,03:10 PM,FREE,BUSY
10,03/16/19,01:10 PM,04:10 PM,Cubs at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local Radio: ESPN Phoenix 620,03/16/19,03/16/19,04:10 PM,07:10 PM,False,True,03/16/19,12:10 PM,03:10 PM,FREE,BUSY
11,03/17/19,01:10 PM,04:10 PM,White Sox at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local Radio: 98.7 FM Arizona's Sports Station,03/17/19,03/17/19,04:10 PM,07:10 PM,False,True,03/17/19,12:10 PM,03:10 PM,FREE,BUSY
12,03/19/19,06:40 PM,09:40 PM,Padres at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local TV: FS-A ----- Local Radio: MLB.com,03/19/19,03/20/19,09:40 PM,12:40 AM,False,True,03/19/19,05:40 PM,08:40 PM,FREE,BUSY
13,03/21/19,01:10 PM,04:10 PM,Angels at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local TV: FS-A+ ----- Local Radio: MLB.com,03/21/19,03/21/19,04:10 PM,07:10 PM,False,True,03/21/19,12:10 PM,03:10 PM,FREE,BUSY
14,03/24/19,12:10 PM,03:10 PM,Brewers at D-backs,Salt River Fields at Talking Stick - Scottsdale,,03/24/19,03/24/19,03:10 PM,06:10 PM,False,True,03/24/19,11:10 AM,02:10 PM,FREE,BUSY
15,03/25/19,06:40 PM,09:40 PM,White Sox at D-backs,Chase Field - Phoenix,Local Radio: ESPN Phoenix 620,03/25/19,03/26/19,09:40 PM,12:40 AM,False,True,03/25/19,05:40 PM,08:40 PM,FREE,BUSY
16,03/26/19,12:40 PM,03:40 PM,White Sox at D-backs,Chase Field - Phoenix,Local TV: FS-A,03/26/19,03/26/19,03:40 PM,06:40 PM,False,True,03/26/19,11:40 AM,02:40 PM,FREE,BUSY
17,04/05/19,04:10 PM,07:10 PM,Red Sox at D-backs,Chase Field - Phoenix,Local TV: FS-A ----- Local Radio: ESPN Phoenix 620- KHOV 105.1,04/05/19,04/05/19,07:10 PM,10:10 PM,False,True,04/05/19,03:10 PM,06:10 PM,FREE,BUSY
18,04/06/19,05:10 PM,08:10 PM,Red Sox at D-backs,Chase Field - Phoenix,Local TV: FS-A ----- Local Radio: 98.7 FM Arizona's Sports Station- KHOV 105.1,04/06/19,04/06/19,08:10 PM,11:10 PM,False,True,04/06/19,04:10 PM,07:10 PM,FREE,BUSY
19,04/07/19,01:10 PM,04:10 PM,Red Sox at D-backs,Chase Field - Phoenix,Local TV: FS-A ----- Local Radio: 98.7 FM Arizona's Sports Station- KHOV 105.1,04/07/19,04/07/19,04:10 PM,07:10 PM,False,True,04/07/19,12:10 PM,03:10 PM,FREE,BUSY
20,04/09/19,06:40 PM,09:40 PM,Rangers at D-backs,Chase Field - Phoenix,Local TV: FS-A+ ----- Local Radio: ESPN Phoenix 620- KHOV 105.1,04/09/19,04/10/19,09:40 PM,12:40 AM,False,True,04/09/19,05:40 PM,08:40 PM,FREE,BUSY
21,04/10/19,06:40 PM,09:40 PM,Rangers at D-backs,Chase Field - Phoenix,Local TV: FS-A ----- Local Radio: 98.7 FM Arizona's Sports Station- KHOV 105.1,04/10/19,04/11/19,09:40 PM,12:40 AM,False,True,04/10/19,05:40 PM,08:40 PM,FREE,BUSY
22,04/11/19,06:40 PM,09:40 PM,Padres at D-backs,Chase Field - Phoenix,Local TV: FS-A ----- Local Radio: 98.7 FM Arizona's Sports Station- KHOV 105.1,04/11/19,04/12/19,09:40 PM,12:40 AM,False,True,04/11/19,05:40 PM,08:40 PM,FREE,BUSY
