,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/24/19,12:07 PM,03:07 PM,Angels at Dodgers,Camelback Ranch - Glendale,Local TV: SportsNet LA ----- Local Radio: KTNQ 1020,02/24/19,02/24/19,03:07 PM,06:07 PM,False,True,02/24/19,11:07 AM,02:07 PM,FREE,BUSY
1,02/25/19,12:05 PM,03:05 PM,Cubs at Dodgers,Camelback Ranch - Glendale,Local Radio: AM 570 LA Sports,02/25/19,02/25/19,03:05 PM,06:05 PM,False,True,02/25/19,11:05 AM,02:05 PM,FREE,BUSY
2,02/28/19,12:05 PM,03:05 PM,Rockies at Dodgers,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: AM 570 LA Sports,02/28/19,02/28/19,03:05 PM,06:05 PM,False,True,02/28/19,11:05 AM,02:05 PM,FREE,BUSY
3,03/01/19,05:05 PM,08:05 PM,Padres at Dodgers,Camelback Ranch - Glendale,Local TV: SportsNet LA- ESPN+,03/01/19,03/01/19,08:05 PM,11:05 PM,False,True,03/01/19,04:05 PM,07:05 PM,FREE,BUSY
4,03/03/19,12:05 PM,03:05 PM,Rangers at Dodgers,Camelback Ranch - Glendale,Local TV: SportsNet LA,03/03/19,03/03/19,03:05 PM,06:05 PM,False,True,03/03/19,11:05 AM,02:05 PM,FREE,BUSY
5,03/06/19,06:05 PM,09:05 PM,Indians at Dodgers,Camelback Ranch - Glendale,Local TV: SportsNet LA- MLBN (out-of-market only) ----- Local Radio: AM 570 LA Sports,03/06/19,03/07/19,09:05 PM,12:05 AM,False,True,03/06/19,05:05 PM,08:05 PM,FREE,BUSY
6,03/08/19,06:05 PM,09:05 PM,Royals at Dodgers,Camelback Ranch - Glendale,Local TV: SportsNet LA,03/08/19,03/09/19,09:05 PM,12:05 AM,False,True,03/08/19,05:05 PM,08:05 PM,FREE,BUSY
7,03/09/19,12:05 PM,03:05 PM,Mariners at Dodgers,Camelback Ranch - Glendale,Local TV: SportsNet LA ----- Local Radio: KTNQ 1020,03/09/19,03/09/19,03:05 PM,06:05 PM,False,True,03/09/19,11:05 AM,02:05 PM,FREE,BUSY
8,03/11/19,01:05 PM,04:05 PM,Giants at Dodgers,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: AM 570 LA Sports,03/11/19,03/11/19,04:05 PM,07:05 PM,False,True,03/11/19,12:05 PM,03:05 PM,FREE,BUSY
9,03/13/19,07:05 PM,10:05 PM,White Sox at Dodgers,Camelback Ranch - Glendale,Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports,03/13/19,03/14/19,10:05 PM,01:05 AM,False,True,03/13/19,06:05 PM,09:05 PM,FREE,BUSY
10,03/14/19,01:05 PM,04:05 PM,Reds at Dodgers,Camelback Ranch - Glendale,Local TV: MLB.com,03/14/19,03/14/19,04:05 PM,07:05 PM,False,True,03/14/19,12:05 PM,03:05 PM,FREE,BUSY
11,03/17/19,01:05 PM,04:05 PM,Brewers at Dodgers,Camelback Ranch - Glendale,Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports- KTNQ 1020,03/17/19,03/17/19,04:05 PM,07:05 PM,False,True,03/17/19,12:05 PM,03:05 PM,FREE,BUSY
12,03/19/19,07:05 PM,10:05 PM,Indians at Dodgers,Camelback Ranch - Glendale,Local TV: SportsNet LA,03/19/19,03/20/19,10:05 PM,01:05 AM,False,True,03/19/19,06:05 PM,09:05 PM,FREE,BUSY
13,03/22/19,01:05 PM,04:05 PM,D-backs at Dodgers,Camelback Ranch - Glendale,Local TV: MLB.com,03/22/19,03/22/19,04:05 PM,07:05 PM,False,True,03/22/19,12:05 PM,03:05 PM,FREE,BUSY
14,03/23/19,12:05 PM,03:05 PM,White Sox at Dodgers,Camelback Ranch - Glendale,Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports,03/23/19,03/23/19,03:05 PM,06:05 PM,False,True,03/23/19,11:05 AM,02:05 PM,FREE,BUSY
15,03/26/19,07:10 PM,10:10 PM,Angels at Dodgers,Dodger Stadium - Los Angeles,Local TV: SportsNet LA- MLBN (out-of-market only) ----- Local Radio: AM 570 LA Sports- KTNQ 1020,03/26/19,03/27/19,10:10 PM,01:10 AM,False,True,03/26/19,06:10 PM,09:10 PM,FREE,BUSY
16,03/28/19,01:10 PM,04:10 PM,D-backs at Dodgers,Dodger Stadium - Los Angeles,Local TV: SportsNet LA- SNLA Spanish- ESPN (out-of-market only) ----- Local Radio: AM 570 LA Sports- KTNQ 1020- Radio Korea 1540,03/28/19,03/28/19,04:10 PM,07:10 PM,False,True,03/28/19,12:10 PM,03:10 PM,FREE,BUSY
17,03/29/19,07:10 PM,10:10 PM,D-backs at Dodgers,Dodger Stadium - Los Angeles,Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: AM 570 LA Sports- KTNQ 1020,03/29/19,03/30/19,10:10 PM,01:10 AM,False,True,03/29/19,06:10 PM,09:10 PM,FREE,BUSY
18,03/30/19,06:10 PM,09:10 PM,D-backs at Dodgers,Dodger Stadium - Los Angeles,Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: AM 570 LA Sports- KTNQ 1020- Radio Korea 1540,03/30/19,03/31/19,09:10 PM,12:10 AM,False,True,03/30/19,05:10 PM,08:10 PM,FREE,BUSY
19,03/31/19,01:10 PM,04:10 PM,D-backs at Dodgers,Dodger Stadium - Los Angeles,Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: AM 570 LA Sports- KTNQ 1020,03/31/19,03/31/19,04:10 PM,07:10 PM,False,True,03/31/19,12:10 PM,03:10 PM,FREE,BUSY
20,04/01/19,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,Local TV: SportsNet LA- ESPN (out-of-market only)- SNLA Spanish ----- Local Radio: AM 570 LA Sports- KTNQ 1020,04/01/19,04/02/19,10:10 PM,01:10 AM,False,True,04/01/19,06:10 PM,09:10 PM,FREE,BUSY
21,04/02/19,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,Local TV: SportsNet LA- KTLA- SNLA Spanish ----- Local Radio: AM 570 LA Sports- KTNQ 1020- Radio Korea 1540,04/02/19,04/03/19,10:10 PM,01:10 AM,False,True,04/02/19,06:10 PM,09:10 PM,FREE,BUSY
