,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/24/19,12:05 PM,03:05 PM,Cubs at Giants,Scottsdale Stadium - Scottsdale,Local Radio: KNBR 680,02/24/19,02/24/19,03:05 PM,06:05 PM,False,True,02/24/19,11:05 AM,02:05 PM,FREE,BUSY
1,02/25/19,12:05 PM,03:05 PM,White Sox at Giants,Scottsdale Stadium - Scottsdale,Local Radio: MLB.com,02/25/19,02/25/19,03:05 PM,06:05 PM,False,True,02/25/19,11:05 AM,02:05 PM,FREE,BUSY
2,02/27/19,12:05 PM,03:05 PM,Royals at Giants,Scottsdale Stadium - Scottsdale,Local Radio: MLB.com,02/27/19,02/27/19,03:05 PM,06:05 PM,False,True,02/27/19,11:05 AM,02:05 PM,FREE,BUSY
3,03/01/19,06:05 PM,09:05 PM,Reds at Giants,Scottsdale Stadium - Scottsdale,Local TV: NBC Bay Area- MLBN (out-of-market only) ----- Local Radio: MLB.com,03/01/19,03/02/19,09:05 PM,12:05 AM,False,True,03/01/19,05:05 PM,08:05 PM,FREE,BUSY
4,03/02/19,12:05 PM,03:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,Local Radio: KNBR 680,03/02/19,03/02/19,03:05 PM,06:05 PM,False,True,03/02/19,11:05 AM,02:05 PM,FREE,BUSY
5,03/04/19,12:05 PM,03:05 PM,Dodgers at Giants,Scottsdale Stadium - Scottsdale,Local Radio: MLB.com,03/04/19,03/04/19,03:05 PM,06:05 PM,False,True,03/04/19,11:05 AM,02:05 PM,FREE,BUSY
6,03/07/19,06:05 PM,09:05 PM,Athletics at Giants,Scottsdale Stadium - Scottsdale,Local TV: NBCS BA- MLBN (out-of-market only) ----- Local Radio: KNBR 680,03/07/19,03/08/19,09:05 PM,12:05 AM,False,True,03/07/19,05:05 PM,08:05 PM,FREE,BUSY
7,03/09/19,12:05 PM,03:05 PM,Cubs at Giants,Scottsdale Stadium - Scottsdale,Local Radio: KNBR 680,03/09/19,03/09/19,03:05 PM,06:05 PM,False,True,03/09/19,11:05 AM,02:05 PM,FREE,BUSY
8,03/10/19,01:05 PM,04:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,Local Radio: KNBR 680,03/10/19,03/10/19,04:05 PM,07:05 PM,False,True,03/10/19,12:05 PM,03:05 PM,FREE,BUSY
9,03/12/19,07:05 PM,10:05 PM,Brewers at Giants,Scottsdale Stadium - Scottsdale,Local TV: NBCS BA ----- Local Radio: MLB.com,03/12/19,03/13/19,10:05 PM,01:05 AM,False,True,03/12/19,06:05 PM,09:05 PM,FREE,BUSY
10,03/15/19,01:05 PM,04:05 PM,Angels at Giants,Scottsdale Stadium - Scottsdale,Local Radio: MLB.com,03/15/19,03/15/19,04:05 PM,07:05 PM,False,True,03/15/19,12:05 PM,03:05 PM,FREE,BUSY
11,03/16/19,01:05 PM,04:05 PM,Padres at Giants,Scottsdale Stadium - Scottsdale,Local Radio: KNBR 680,03/16/19,03/16/19,04:05 PM,07:05 PM,False,True,03/16/19,12:05 PM,03:05 PM,FREE,BUSY
12,03/17/19,01:05 PM,04:05 PM,Royals at Giants,Scottsdale Stadium - Scottsdale,Local Radio: KNBR 680,03/17/19,03/17/19,04:05 PM,07:05 PM,False,True,03/17/19,12:05 PM,03:05 PM,FREE,BUSY
13,03/20/19,07:05 PM,10:05 PM,Indians at Giants,Scottsdale Stadium - Scottsdale,Local TV: NBCS BA ----- Local Radio: KNBR 680,03/20/19,03/21/19,10:05 PM,01:05 AM,False,True,03/20/19,06:05 PM,09:05 PM,FREE,BUSY
14,03/22/19,07:05 PM,10:05 PM,Rockies at Giants,Scottsdale Stadium - Scottsdale,Local TV: NBC Bay Area ----- Local Radio: KNBR 680,03/22/19,03/23/19,10:05 PM,01:05 AM,False,True,03/22/19,06:05 PM,09:05 PM,FREE,BUSY
15,03/23/19,01:05 PM,04:05 PM,D-backs at Giants,Scottsdale Stadium - Scottsdale,Local Radio: KNBR 680,03/23/19,03/23/19,04:05 PM,07:05 PM,False,True,03/23/19,12:05 PM,03:05 PM,FREE,BUSY
16,03/25/19,06:45 PM,09:45 PM,Athletics at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680,03/25/19,03/26/19,09:45 PM,12:45 AM,False,True,03/25/19,05:45 PM,08:45 PM,FREE,BUSY
17,03/26/19,06:45 PM,09:45 PM,Athletics at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680,03/26/19,03/27/19,09:45 PM,12:45 AM,False,True,03/26/19,05:45 PM,08:45 PM,FREE,BUSY
18,04/05/19,01:35 PM,04:35 PM,Rays at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/05/19,04/05/19,04:35 PM,07:35 PM,False,True,04/05/19,12:35 PM,03:35 PM,FREE,BUSY
19,04/06/19,01:05 PM,04:05 PM,Rays at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/06/19,04/06/19,04:05 PM,07:05 PM,False,True,04/06/19,12:05 PM,03:05 PM,FREE,BUSY
20,04/07/19,01:05 PM,04:05 PM,Rays at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/07/19,04/07/19,04:05 PM,07:05 PM,False,True,04/07/19,12:05 PM,03:05 PM,FREE,BUSY
21,04/08/19,06:45 PM,09:45 PM,Padres at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/08/19,04/09/19,09:45 PM,12:45 AM,False,True,04/08/19,05:45 PM,08:45 PM,FREE,BUSY
22,04/09/19,06:45 PM,09:45 PM,Padres at Giants,Oracle Park - San Francisco,Local TV: NBCS BA+ ----- Local Radio: KNBR 680- KXZM 93.7,04/09/19,04/10/19,09:45 PM,12:45 AM,False,True,04/09/19,05:45 PM,08:45 PM,FREE,BUSY
23,04/10/19,12:45 PM,03:45 PM,Padres at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/10/19,04/10/19,03:45 PM,06:45 PM,False,True,04/10/19,11:45 AM,02:45 PM,FREE,BUSY
24,04/11/19,06:45 PM,09:45 PM,Rockies at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/11/19,04/12/19,09:45 PM,12:45 AM,False,True,04/11/19,05:45 PM,08:45 PM,FREE,BUSY
25,04/12/19,07:15 PM,10:15 PM,Rockies at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/12/19,04/13/19,10:15 PM,01:15 AM,False,True,04/12/19,06:15 PM,09:15 PM,FREE,BUSY
26,04/13/19,01:05 PM,04:05 PM,Rockies at Giants,Oracle Park - San Francisco,Local TV: NBCS BA- FS1 ----- Local Radio: KNBR 680- KXZM 93.7,04/13/19,04/13/19,04:05 PM,07:05 PM,False,True,04/13/19,12:05 PM,03:05 PM,FREE,BUSY
27,04/14/19,01:05 PM,04:05 PM,Rockies at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/14/19,04/14/19,04:05 PM,07:05 PM,False,True,04/14/19,12:05 PM,03:05 PM,FREE,BUSY
28,04/26/19,07:15 PM,10:15 PM,Yankees at Giants,Oracle Park - San Francisco,Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KXZM 93.7,04/26/19,04/27/19,10:15 PM,01:15 AM,False,True,04/26/19,06:15 PM,09:15 PM,FREE,BUSY
29,04/27/19,01:05 PM,04:05 PM,Yankees at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/27/19,04/27/19,04:05 PM,07:05 PM,False,True,04/27/19,12:05 PM,03:05 PM,FREE,BUSY
30,04/28/19,01:05 PM,04:05 PM,Yankees at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/28/19,04/28/19,04:05 PM,07:05 PM,False,True,04/28/19,12:05 PM,03:05 PM,FREE,BUSY
31,04/29/19,06:45 PM,09:45 PM,Dodgers at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/29/19,04/30/19,09:45 PM,12:45 AM,False,True,04/29/19,05:45 PM,08:45 PM,FREE,BUSY
32,04/30/19,06:45 PM,09:45 PM,Dodgers at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,04/30/19,05/01/19,09:45 PM,12:45 AM,False,True,04/30/19,05:45 PM,08:45 PM,FREE,BUSY
33,05/01/19,06:45 PM,09:45 PM,Dodgers at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,05/01/19,05/02/19,09:45 PM,12:45 AM,False,True,05/01/19,05:45 PM,08:45 PM,FREE,BUSY
34,05/10/19,07:15 PM,10:15 PM,Reds at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,05/10/19,05/11/19,10:15 PM,01:15 AM,False,True,05/10/19,06:15 PM,09:15 PM,FREE,BUSY
35,05/11/19,06:05 PM,09:05 PM,Reds at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,05/11/19,05/12/19,09:05 PM,12:05 AM,False,True,05/11/19,05:05 PM,08:05 PM,FREE,BUSY
36,05/12/19,01:05 PM,04:05 PM,Reds at Giants,Oracle Park - San Francisco,Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7,05/12/19,05/12/19,04:05 PM,07:05 PM,False,True,05/12/19,12:05 PM,03:05 PM,FREE,BUSY
