,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/24/19,03:05 PM,03:05 PM,D-backs at Indians,Goodyear Ballpark - Goodyear,Local Radio: WTAM 1100,02/24/19,02/24/19,06:05 PM,06:05 PM,False,True,02/24/19,02:05 PM,02:05 PM,FREE,BUSY
1,02/25/19,03:05 PM,03:05 PM,Rangers at Indians,Goodyear Ballpark - Goodyear,Local Radio: MLB.com,02/25/19,02/25/19,06:05 PM,06:05 PM,False,True,02/25/19,02:05 PM,02:05 PM,FREE,BUSY
2,02/27/19,03:05 PM,03:05 PM,Mariners at Indians,Goodyear Ballpark - Goodyear,Local Radio: MLB.com,02/27/19,02/27/19,06:05 PM,06:05 PM,False,True,02/27/19,02:05 PM,02:05 PM,FREE,BUSY
3,03/01/19,08:05 PM,08:05 PM,Dodgers at Indians,Goodyear Ballpark - Goodyear,Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100,03/01/19,03/01/19,11:05 PM,11:05 PM,False,True,03/01/19,07:05 PM,07:05 PM,FREE,BUSY
4,03/03/19,03:05 PM,03:05 PM,Royals at Indians,Goodyear Ballpark - Goodyear,Local Radio: ALT 99.1,03/03/19,03/03/19,06:05 PM,06:05 PM,False,True,03/03/19,02:05 PM,02:05 PM,FREE,BUSY
5,03/05/19,03:05 PM,03:05 PM,White Sox at Indians,Goodyear Ballpark - Goodyear,Local Radio: WTAM 1100,03/05/19,03/05/19,06:05 PM,06:05 PM,False,True,03/05/19,02:05 PM,02:05 PM,FREE,BUSY
6,03/08/19,08:05 PM,08:05 PM,Giants at Indians,Goodyear Ballpark - Goodyear,,03/08/19,03/08/19,11:05 PM,11:05 PM,False,True,03/08/19,07:05 PM,07:05 PM,FREE,BUSY
7,03/09/19,03:05 PM,03:05 PM,Rockies at Indians,Goodyear Ballpark - Goodyear,Local Radio: WTAM 1100,03/09/19,03/09/19,06:05 PM,06:05 PM,False,True,03/09/19,02:05 PM,02:05 PM,FREE,BUSY
8,03/11/19,04:05 PM,04:05 PM,Reds at Indians,Goodyear Ballpark - Goodyear,,03/11/19,03/11/19,07:05 PM,07:05 PM,False,True,03/11/19,03:05 PM,03:05 PM,FREE,BUSY
9,03/13/19,04:05 PM,04:05 PM,Brewers at Indians,Goodyear Ballpark - Goodyear,,03/13/19,03/13/19,07:05 PM,07:05 PM,False,True,03/13/19,03:05 PM,03:05 PM,FREE,BUSY
