,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,01:10 PM,01:10 PM,Braves at Mets,First Data Field - Port St. Lucie,Local TV: SNY- ESPN+ ----- Local Radio: WCBS 880,02/23/19,02/23/19,04:10 PM,04:10 PM,False,True,02/23/19,12:10 PM,12:10 PM,FREE,BUSY
1,02/24/19,01:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,Local TV: WPIX ----- Local Radio: WCBS 880,02/24/19,02/24/19,04:10 PM,04:10 PM,False,True,02/24/19,12:10 PM,12:10 PM,FREE,BUSY
2,02/26/19,01:10 PM,01:10 PM,Tigers at Mets,First Data Field - Port St. Lucie,Local TV: SNY- MLBN (out-of-market only),02/26/19,02/26/19,04:10 PM,04:10 PM,False,True,02/26/19,12:10 PM,12:10 PM,FREE,BUSY
3,02/27/19,01:10 PM,01:10 PM,Marlins at Mets,First Data Field - Port St. Lucie,Local TV: SNY- MLBN (out-of-market only),02/27/19,02/27/19,04:10 PM,04:10 PM,False,True,02/27/19,12:10 PM,12:10 PM,FREE,BUSY
4,03/02/19,01:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,Local TV: WPIX- MLBN (out-of-market only) ----- Local Radio: WCBS 880,03/02/19,03/02/19,04:10 PM,04:10 PM,False,True,03/02/19,12:10 PM,12:10 PM,FREE,BUSY
5,03/04/19,01:10 PM,01:10 PM,Red Sox at Mets,First Data Field - Port St. Lucie,Local TV: SNY- MLBN (out-of-market only),03/04/19,03/04/19,04:10 PM,04:10 PM,False,True,03/04/19,12:10 PM,12:10 PM,FREE,BUSY
6,03/08/19,01:10 PM,01:10 PM,Marlins at Mets,First Data Field - Port St. Lucie,Local TV: SNY,03/08/19,03/08/19,04:10 PM,04:10 PM,False,True,03/08/19,12:10 PM,12:10 PM,FREE,BUSY
7,03/10/19,01:10 PM,01:10 PM,Cardinals at Mets,First Data Field - Port St. Lucie,Local TV: WPIX ----- Local Radio: WCBS 880- ESPN Deportes,03/10/19,03/10/19,04:10 PM,04:10 PM,False,True,03/10/19,12:10 PM,12:10 PM,FREE,BUSY
8,03/13/19,01:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,Local TV: SNY,03/13/19,03/13/19,04:10 PM,04:10 PM,False,True,03/13/19,12:10 PM,12:10 PM,FREE,BUSY
9,03/15/19,01:10 PM,01:10 PM,Nationals at Mets,First Data Field - Port St. Lucie,Local TV: SNY,03/15/19,03/15/19,04:10 PM,04:10 PM,False,True,03/15/19,12:10 PM,12:10 PM,FREE,BUSY
10,03/18/19,01:10 PM,01:10 PM,Nationals at Mets,First Data Field - Port St. Lucie,Local TV: SNY,03/18/19,03/18/19,04:10 PM,04:10 PM,False,True,03/18/19,12:10 PM,12:10 PM,FREE,BUSY
11,03/21/19,01:10 PM,01:10 PM,Marlins at Mets,First Data Field - Port St. Lucie,Local TV: SNY- MLBN (out-of-market only),03/21/19,03/21/19,04:10 PM,04:10 PM,False,True,03/21/19,12:10 PM,12:10 PM,FREE,BUSY
12,03/22/19,01:10 PM,01:10 PM,Cardinals at Mets,First Data Field - Port St. Lucie,Local TV: SNY- MLBN (out-of-market only),03/22/19,03/22/19,04:10 PM,04:10 PM,False,True,03/22/19,12:10 PM,12:10 PM,FREE,BUSY
13,03/24/19,12:10 PM,12:10 PM,Nationals at Mets,First Data Field - Port St. Lucie,Local TV: SNY- MLBN (out-of-market only) ----- Local Radio: WCBS 880- ESPN Deportes,03/24/19,03/24/19,03:10 PM,03:10 PM,False,True,03/24/19,11:10 AM,11:10 AM,FREE,BUSY
14,04/04/19,01:10 PM,01:10 PM,Nationals at Mets,Citi Field - Flushing,Local TV: SNY- MLBN (out-of-market only) ----- Local Radio: WCBS 880- ESPN Deportes 1050,04/04/19,04/04/19,04:10 PM,04:10 PM,False,True,04/04/19,12:10 PM,12:10 PM,FREE,BUSY
15,04/06/19,01:10 PM,01:10 PM,Nationals at Mets,Citi Field - Flushing,Local TV: SNY- MLBN (out-of-market only) ----- Local Radio: WCBS 880- ESPN Deportes 1050,04/06/19,04/06/19,04:10 PM,04:10 PM,False,True,04/06/19,12:10 PM,12:10 PM,FREE,BUSY
16,04/07/19,01:10 PM,01:10 PM,Nationals at Mets,Citi Field - Flushing,Local TV: SNY ----- Local Radio: WCBS 880- ESPN Deportes 1050,04/07/19,04/07/19,04:10 PM,04:10 PM,False,True,04/07/19,12:10 PM,12:10 PM,FREE,BUSY
17,04/09/19,07:10 PM,07:10 PM,Twins at Mets,Citi Field - Flushing,Local TV: SNY ----- Local Radio: WCBS 880- ESPN Deportes 1050,04/09/19,04/09/19,10:10 PM,10:10 PM,False,True,04/09/19,06:10 PM,06:10 PM,FREE,BUSY
18,04/10/19,07:10 PM,07:10 PM,Twins at Mets,Citi Field - Flushing,Local TV: SNY ----- Local Radio: WCBS 880- ESPN Deportes 1050,04/10/19,04/10/19,10:10 PM,10:10 PM,False,True,04/10/19,06:10 PM,06:10 PM,FREE,BUSY
19,04/22/19,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,Local TV: SNY- ESPN- ESPN Deportes- WatchESPN ----- Local Radio: WCBS 880- ESPN Deportes 1050,04/22/19,04/22/19,10:10 PM,10:10 PM,False,True,04/22/19,06:10 PM,06:10 PM,FREE,BUSY
20,04/23/19,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,Local TV: SNY ----- Local Radio: WCBS 880- ESPN Deportes 1050,04/23/19,04/23/19,10:10 PM,10:10 PM,False,True,04/23/19,06:10 PM,06:10 PM,FREE,BUSY
21,04/24/19,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,Local TV: SNY- ESPN (out-of-market only) ----- Local Radio: WCBS 880- ESPN Deportes 1050,04/24/19,04/24/19,10:10 PM,10:10 PM,False,True,04/24/19,06:10 PM,06:10 PM,FREE,BUSY
22,04/26/19,07:10 PM,07:10 PM,Brewers at Mets,Citi Field - Flushing,Local TV: SNY- MLBN (out-of-market only) ----- Local Radio: WCBS 880- ESPN Deportes 1050,04/26/19,04/26/19,10:10 PM,10:10 PM,False,True,04/26/19,06:10 PM,06:10 PM,FREE,BUSY
23,04/27/19,07:10 PM,07:10 PM,Brewers at Mets,Citi Field - Flushing,Local TV: WPIX- FS1 ----- Local Radio: WCBS 880- ESPN Deportes 1050,04/27/19,04/27/19,10:10 PM,10:10 PM,False,True,04/27/19,06:10 PM,06:10 PM,FREE,BUSY
24,04/28/19,01:10 PM,01:10 PM,Brewers at Mets,Citi Field - Flushing,Local TV: WPIX ----- Local Radio: WCBS 880- ESPN Deportes 1050,04/28/19,04/28/19,04:10 PM,04:10 PM,False,True,04/28/19,12:10 PM,12:10 PM,FREE,BUSY
