,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,06:35 PM,06:35 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: MASN ----- Local Radio: 106.7 The Fan,02/23/19,02/23/19,09:35 PM,09:35 PM,False,True,02/23/19,05:35 PM,05:35 PM,FREE,BUSY
1,02/26/19,01:05 PM,01:05 PM,Cardinals at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,,02/26/19,02/26/19,04:05 PM,04:05 PM,False,True,02/26/19,12:05 PM,12:05 PM,FREE,BUSY
2,02/27/19,01:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: ESPN+,02/27/19,02/27/19,04:05 PM,04:05 PM,False,True,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
3,03/02/19,01:05 PM,01:05 PM,Twins at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local Radio: 106.7 The Fan,03/02/19,03/02/19,04:05 PM,04:05 PM,False,True,03/02/19,12:05 PM,12:05 PM,FREE,BUSY
4,03/03/19,01:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,,03/03/19,03/03/19,04:05 PM,04:05 PM,False,True,03/03/19,12:05 PM,12:05 PM,FREE,BUSY
5,03/05/19,01:05 PM,01:05 PM,Red Sox at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: MASN,03/05/19,03/05/19,04:05 PM,04:05 PM,False,True,03/05/19,12:05 PM,12:05 PM,FREE,BUSY
6,03/07/19,01:05 PM,01:05 PM,Mets at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,,03/07/19,03/07/19,04:05 PM,04:05 PM,False,True,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
7,03/09/19,06:35 PM,06:35 PM,Marlins at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: MASN ----- Local Radio: 106.7 The Fan,03/09/19,03/09/19,09:35 PM,09:35 PM,False,True,03/09/19,05:35 PM,05:35 PM,FREE,BUSY
8,03/12/19,06:35 PM,06:35 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: MLBN,03/12/19,03/12/19,09:35 PM,09:35 PM,False,True,03/12/19,05:35 PM,05:35 PM,FREE,BUSY
9,03/13/19,01:05 PM,01:05 PM,Braves at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,Local TV: MASN- MLBN (out-of-market only),03/13/19,03/13/19,04:05 PM,04:05 PM,False,True,03/13/19,12:05 PM,12:05 PM,FREE,BUSY
