,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/24/19,12:10 PM,03:10 PM,White Sox at Padres,Peoria Stadium - Peoria,Local Radio: KWFN 97.3,02/24/19,02/24/19,03:10 PM,06:10 PM,False,True,02/24/19,11:10 AM,02:10 PM,FREE,BUSY
1,02/27/19,12:10 PM,03:10 PM,D-backs at Padres,Peoria Stadium - Peoria,Local Radio: MLB.com,02/27/19,02/27/19,03:10 PM,06:10 PM,False,True,02/27/19,11:10 AM,02:10 PM,FREE,BUSY
2,03/02/19,12:10 PM,03:10 PM,Giants at Padres,Peoria Stadium - Peoria,Local TV: FSSD ----- Local Radio: KWFN 97.3,03/02/19,03/02/19,03:10 PM,06:10 PM,False,True,03/02/19,11:10 AM,02:10 PM,FREE,BUSY
3,03/04/19,12:10 PM,03:10 PM,Indians at Padres,Peoria Stadium - Peoria,Local TV: FSSD ----- Local Radio: KWFN 97.3,03/04/19,03/04/19,03:10 PM,06:10 PM,False,True,03/04/19,11:10 AM,02:10 PM,FREE,BUSY
4,03/05/19,12:10 PM,03:10 PM,Mariners at Padres,Peoria Stadium - Peoria,Local TV: FSSD ----- Local Radio: KWFN 97.3,03/05/19,03/05/19,03:10 PM,06:10 PM,False,True,03/05/19,11:10 AM,02:10 PM,FREE,BUSY
5,03/07/19,12:10 PM,03:10 PM,Rangers at Padres,Peoria Stadium - Peoria,Local TV: FSSD,03/07/19,03/07/19,03:10 PM,06:10 PM,False,True,03/07/19,11:10 AM,02:10 PM,FREE,BUSY
6,03/09/19,05:40 PM,08:40 PM,Reds at Padres,Peoria Stadium - Peoria,Local TV: FSSD,03/09/19,03/09/19,08:40 PM,11:40 PM,False,True,03/09/19,04:40 PM,07:40 PM,FREE,BUSY
7,03/14/19,06:40 PM,09:40 PM,Dodgers at Padres,Peoria Stadium - Peoria,Local Radio: MLB.com,03/14/19,03/15/19,09:40 PM,12:40 AM,False,True,03/14/19,05:40 PM,08:40 PM,FREE,BUSY
8,03/16/19,01:10 PM,04:10 PM,Royals at Padres,Peoria Stadium - Peoria,Local TV: FSSD ----- Local Radio: KWFN 97.3,03/16/19,03/16/19,04:10 PM,07:10 PM,False,True,03/16/19,12:10 PM,03:10 PM,FREE,BUSY
9,03/17/19,01:10 PM,04:10 PM,Angels at Padres,Peoria Stadium - Peoria,Local TV: FSSD ----- Local Radio: KWFN 97.3,03/17/19,03/17/19,04:10 PM,07:10 PM,False,True,03/17/19,12:10 PM,03:10 PM,FREE,BUSY
10,03/20/19,01:10 PM,04:10 PM,Brewers at Padres,Peoria Stadium - Peoria,Local TV: FSSD,03/20/19,03/20/19,04:10 PM,07:10 PM,False,True,03/20/19,12:10 PM,03:10 PM,FREE,BUSY
