,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,01:05 PM,01:05 PM,Pirates at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+ ----- Local Radio: 94 WIP,02/23/19,02/23/19,04:05 PM,04:05 PM,False,True,02/23/19,12:05 PM,12:05 PM,FREE,BUSY
1,02/25/19,01:05 PM,01:05 PM,Tigers at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,02/25/19,02/25/19,04:05 PM,04:05 PM,False,True,02/25/19,12:05 PM,12:05 PM,FREE,BUSY
2,02/27/19,01:05 PM,01:05 PM,Twins at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,02/27/19,02/27/19,04:05 PM,04:05 PM,False,True,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
3,02/28/19,01:05 PM,01:05 PM,Orioles at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+- MLBN (out-of-market only),02/28/19,02/28/19,04:05 PM,04:05 PM,False,True,02/28/19,12:05 PM,12:05 PM,FREE,BUSY
4,03/01/19,01:05 PM,01:05 PM,Pirates at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,03/01/19,03/01/19,04:05 PM,04:05 PM,False,True,03/01/19,12:05 PM,12:05 PM,FREE,BUSY
5,03/05/19,01:05 PM,01:05 PM,Cardinals at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+- MLBN (out-of-market only),03/05/19,03/05/19,04:05 PM,04:05 PM,False,True,03/05/19,12:05 PM,12:05 PM,FREE,BUSY
6,03/07/19,01:05 PM,01:05 PM,Yankees at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP,03/07/19,03/07/19,04:05 PM,04:05 PM,False,True,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
7,03/09/19,01:05 PM,01:05 PM,Blue Jays at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP ----- Local Radio: 94 WIP,03/09/19,03/09/19,04:05 PM,04:05 PM,False,True,03/09/19,12:05 PM,12:05 PM,FREE,BUSY
8,03/11/19,01:05 PM,01:05 PM,Rays at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,03/11/19,03/11/19,04:05 PM,04:05 PM,False,True,03/11/19,12:05 PM,12:05 PM,FREE,BUSY
9,03/15/19,01:05 PM,01:05 PM,Blue Jays at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,03/15/19,03/15/19,04:05 PM,04:05 PM,False,True,03/15/19,12:05 PM,12:05 PM,FREE,BUSY
10,03/16/19,01:05 PM,01:05 PM,Astros at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP ----- Local Radio: 94 WIP,03/16/19,03/16/19,04:05 PM,04:05 PM,False,True,03/16/19,12:05 PM,12:05 PM,FREE,BUSY
11,03/17/19,01:05 PM,01:05 PM,Yankees at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP ----- Local Radio: 94 WIP,03/17/19,03/17/19,04:05 PM,04:05 PM,False,True,03/17/19,12:05 PM,12:05 PM,FREE,BUSY
12,03/20/19,01:05 PM,01:05 PM,Tigers at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+,03/20/19,03/20/19,04:05 PM,04:05 PM,False,True,03/20/19,12:05 PM,12:05 PM,FREE,BUSY
13,03/21/19,01:05 PM,01:05 PM,Blue Jays at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+- MLBN (out-of-market only),03/21/19,03/21/19,04:05 PM,04:05 PM,False,True,03/21/19,12:05 PM,12:05 PM,FREE,BUSY
14,03/24/19,01:05 PM,01:05 PM,Orioles at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP ----- Local Radio: 94 WIP,03/24/19,03/24/19,04:05 PM,04:05 PM,False,True,03/24/19,12:05 PM,12:05 PM,FREE,BUSY
15,03/25/19,01:05 PM,01:05 PM,Rays at Phillies,Spectrum Field - Clearwater,Local TV: NBCSP+- MLBN (out-of-market only),03/25/19,03/25/19,04:05 PM,04:05 PM,False,True,03/25/19,12:05 PM,12:05 PM,FREE,BUSY
16,03/28/19,03:05 PM,03:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBC 10 ----- Local Radio: 94 WIP- WTTM 1680,03/28/19,03/28/19,06:05 PM,06:05 PM,False,True,03/28/19,02:05 PM,02:05 PM,FREE,BUSY
17,03/30/19,04:05 PM,04:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP+- FS1 ----- Local Radio: 94 WIP- WTTM 1680,03/30/19,03/30/19,07:05 PM,07:05 PM,False,True,03/30/19,03:05 PM,03:05 PM,FREE,BUSY
18,03/31/19,07:05 PM,07:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,Local TV: ESPN ----- Local Radio: 94 WIP- WTTM 1680,03/31/19,03/31/19,10:05 PM,10:05 PM,False,True,03/31/19,06:05 PM,06:05 PM,FREE,BUSY
19,04/05/19,07:05 PM,07:05 PM,Twins at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBC 10 ----- Local Radio: 94 WIP- WTTM 1680,04/05/19,04/05/19,10:05 PM,10:05 PM,False,True,04/05/19,06:05 PM,06:05 PM,FREE,BUSY
20,04/06/19,02:05 PM,02:05 PM,Twins at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP+ ----- Local Radio: 94 WIP- WTTM 1680,04/06/19,04/06/19,05:05 PM,05:05 PM,False,True,04/06/19,01:05 PM,01:05 PM,FREE,BUSY
21,04/07/19,01:05 PM,01:05 PM,Twins at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,04/07/19,04/07/19,04:05 PM,04:05 PM,False,True,04/07/19,12:05 PM,12:05 PM,FREE,BUSY
22,04/08/19,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,04/08/19,04/08/19,10:05 PM,10:05 PM,False,True,04/08/19,06:05 PM,06:05 PM,FREE,BUSY
23,04/09/19,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP+ ----- Local Radio: 94 WIP- WTTM 1680,04/09/19,04/09/19,10:05 PM,10:05 PM,False,True,04/09/19,06:05 PM,06:05 PM,FREE,BUSY
24,04/10/19,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP+ ----- Local Radio: 94 WIP- WTTM 1680,04/10/19,04/10/19,10:05 PM,10:05 PM,False,True,04/10/19,06:05 PM,06:05 PM,FREE,BUSY
