,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/22/19,01:05 PM,01:05 PM,Phillies at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: MLB.com,02/22/19,02/22/19,04:05 PM,04:05 PM,False,True,02/22/19,12:05 PM,12:05 PM,FREE,BUSY
1,02/24/19,01:05 PM,01:05 PM,Yankees at Rays,Charlotte Sports Park - Port Charlotte,Local TV: Fox Sports Sun- MLBN (out-of-market only) ----- Local Radio: WDAE 620 AM /95.3 FM,02/24/19,02/24/19,04:05 PM,04:05 PM,False,True,02/24/19,12:05 PM,12:05 PM,FREE,BUSY
2,02/25/19,01:05 PM,01:05 PM,Marlins at Rays,Charlotte Sports Park - Port Charlotte,Local TV: Fox Sports Sun ----- Local Radio: MLB.com,02/25/19,02/25/19,04:05 PM,04:05 PM,False,True,02/25/19,12:05 PM,12:05 PM,FREE,BUSY
3,02/27/19,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park - Port Charlotte,Local TV: Fox Sports Sun ----- Local Radio: MLB.com,02/27/19,02/27/19,04:05 PM,04:05 PM,False,True,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
4,02/28/19,06:35 PM,06:35 PM,Twins at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: WDAE 620 AM /95.3 FM,02/28/19,02/28/19,09:35 PM,09:35 PM,False,True,02/28/19,05:35 PM,05:35 PM,FREE,BUSY
5,03/02/19,01:05 PM,01:05 PM,Phillies at Rays,Charlotte Sports Park - Port Charlotte,Local TV: Fox Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM,03/02/19,03/02/19,04:05 PM,04:05 PM,False,True,03/02/19,12:05 PM,12:05 PM,FREE,BUSY
6,03/05/19,06:05 PM,06:05 PM,USF Bulls at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: WDAE 620 AM /95.3 FM,03/05/19,03/05/19,09:05 PM,09:05 PM,False,True,03/05/19,05:05 PM,05:05 PM,FREE,BUSY
7,03/06/19,01:05 PM,01:05 PM,Orioles at Rays,Charlotte Sports Park - Port Charlotte,Local TV: Fox Sports Sun ----- Local Radio: MLB.com,03/06/19,03/06/19,04:05 PM,04:05 PM,False,True,03/06/19,12:05 PM,12:05 PM,FREE,BUSY
8,03/07/19,01:05 PM,01:05 PM,Blue Jays at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: MLB.com,03/07/19,03/07/19,04:05 PM,04:05 PM,False,True,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
9,03/09/19,01:05 PM,01:05 PM,Orioles at Rays,Charlotte Sports Park - Port Charlotte,Local TV: Fox Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM,03/09/19,03/09/19,04:05 PM,04:05 PM,False,True,03/09/19,12:05 PM,12:05 PM,FREE,BUSY
10,03/10/19,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park - Port Charlotte,Local TV: MLBN ----- Local Radio: WDAE 620 AM /95.3 FM,03/10/19,03/10/19,04:05 PM,04:05 PM,False,True,03/10/19,12:05 PM,12:05 PM,FREE,BUSY
11,03/14/19,01:05 PM,01:05 PM,Phillies at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: MLB.com,03/14/19,03/14/19,04:05 PM,04:05 PM,False,True,03/14/19,12:05 PM,12:05 PM,FREE,BUSY
12,03/15/19,01:05 PM,01:05 PM,Tigers at Rays,Charlotte Sports Park - Port Charlotte,Local TV: Fox Sports Sun ----- Local Radio: MLB.com,03/15/19,03/15/19,04:05 PM,04:05 PM,False,True,03/15/19,12:05 PM,12:05 PM,FREE,BUSY
13,03/18/19,01:05 PM,01:05 PM,Pirates at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: MLB.com,03/18/19,03/18/19,04:05 PM,04:05 PM,False,True,03/18/19,12:05 PM,12:05 PM,FREE,BUSY
14,03/21/19,01:05 PM,01:05 PM,Braves at Rays,Charlotte Sports Park - Port Charlotte,Local Radio: MLB.com,03/21/19,03/21/19,04:05 PM,04:05 PM,False,True,03/21/19,12:05 PM,12:05 PM,FREE,BUSY
15,03/22/19,01:05 PM,01:05 PM,Pirates at Rays,Charlotte Sports Park - Port Charlotte,Local TV: Fox Sports Sun ----- Local Radio: MLB.com,03/22/19,03/22/19,04:05 PM,04:05 PM,False,True,03/22/19,12:05 PM,12:05 PM,FREE,BUSY
16,03/26/19,12:35 PM,12:35 PM,Tigers at Rays,Tropicana Field - St. Petersburg,Local TV: Fox Sports Sun ----- Local Radio: MLB.com,03/26/19,03/26/19,03:35 PM,03:35 PM,False,True,03/26/19,11:35 AM,11:35 AM,FREE,BUSY
