,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,03:05 PM,03:05 PM,Indians at Reds,Goodyear Ballpark - Goodyear,Local Radio: WLW 700,02/23/19,02/23/19,06:05 PM,06:05 PM,False,True,02/23/19,02:05 PM,02:05 PM,FREE,BUSY
1,02/26/19,03:05 PM,03:05 PM,Giants at Reds,Goodyear Ballpark - Goodyear,Local Radio: WSAI-1360,02/26/19,02/26/19,06:05 PM,06:05 PM,False,True,02/26/19,02:05 PM,02:05 PM,FREE,BUSY
2,02/28/19,03:05 PM,03:05 PM,Brewers at Reds,Goodyear Ballpark - Goodyear,Local Radio: WSAI-1360,02/28/19,02/28/19,06:05 PM,06:05 PM,False,True,02/28/19,02:05 PM,02:05 PM,FREE,BUSY
3,03/02/19,03:05 PM,03:05 PM,Angels at Reds,Goodyear Ballpark - Goodyear,Local Radio: WLW 700,03/02/19,03/02/19,06:05 PM,06:05 PM,False,True,03/02/19,02:05 PM,02:05 PM,FREE,BUSY
4,03/04/19,03:05 PM,03:05 PM,Cubs at Reds,Goodyear Ballpark - Goodyear,Local Radio: WLW 700,03/04/19,03/04/19,06:05 PM,06:05 PM,False,True,03/04/19,02:05 PM,02:05 PM,FREE,BUSY
5,03/06/19,08:05 PM,08:05 PM,Padres at Reds,Goodyear Ballpark - Goodyear,Local Radio: WLW 700,03/06/19,03/06/19,11:05 PM,11:05 PM,False,True,03/06/19,07:05 PM,07:05 PM,FREE,BUSY
6,03/07/19,08:05 PM,08:05 PM,Mariners at Reds,Goodyear Ballpark - Goodyear,Local TV: FS-O ----- Local Radio: WSAI-1360,03/07/19,03/07/19,11:05 PM,11:05 PM,False,True,03/07/19,07:05 PM,07:05 PM,FREE,BUSY
7,03/10/19,04:05 PM,04:05 PM,D-backs at Reds,Goodyear Ballpark - Goodyear,Local TV: FS-O- MLBN (out-of-market only) ----- Local Radio: WLW 700,03/10/19,03/10/19,07:05 PM,07:05 PM,False,True,03/10/19,03:05 PM,03:05 PM,FREE,BUSY
8,03/15/19,09:05 PM,09:05 PM,Dodgers at Reds,Goodyear Ballpark - Goodyear,Local TV: MLBN ----- Local Radio: WLW 700,03/16/19,03/16/19,12:05 AM,12:05 AM,False,True,03/15/19,08:05 PM,08:05 PM,FREE,BUSY
9,03/16/19,04:05 PM,04:05 PM,Rangers at Reds,Goodyear Ballpark - Goodyear,Local Radio: WLW 700,03/16/19,03/16/19,07:05 PM,07:05 PM,False,True,03/16/19,03:05 PM,03:05 PM,FREE,BUSY
10,03/17/19,04:05 PM,04:05 PM,Indians at Reds,Goodyear Ballpark - Goodyear,Local TV: FS-O ----- Local Radio: WLW 700,03/17/19,03/17/19,07:05 PM,07:05 PM,False,True,03/17/19,03:05 PM,03:05 PM,FREE,BUSY
11,03/19/19,09:05 PM,09:05 PM,White Sox at Reds,Goodyear Ballpark - Goodyear,Local TV: FS-O ----- Local Radio: WLW 700,03/20/19,03/20/19,12:05 AM,12:05 AM,False,True,03/19/19,08:05 PM,08:05 PM,FREE,BUSY
12,03/21/19,04:05 PM,04:05 PM,Royals at Reds,Goodyear Ballpark - Goodyear,Local Radio: MLB.com,03/21/19,03/21/19,07:05 PM,07:05 PM,False,True,03/21/19,03:05 PM,03:05 PM,FREE,BUSY
13,03/24/19,03:05 PM,03:05 PM,Rockies at Reds,Goodyear Ballpark - Goodyear,Local Radio: WLW 700,03/24/19,03/24/19,06:05 PM,06:05 PM,False,True,03/24/19,02:05 PM,02:05 PM,FREE,BUSY
14,03/28/19,04:10 PM,04:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,Local TV: FS-O ----- Local Radio: WLW 700- Reds Radio Network,03/28/19,03/28/19,07:10 PM,07:10 PM,False,True,03/28/19,03:10 PM,03:10 PM,FREE,BUSY
15,03/31/19,01:10 PM,01:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,Local TV: FS-O ----- Local Radio: WLW 700- Reds Radio Network,03/31/19,03/31/19,04:10 PM,04:10 PM,False,True,03/31/19,12:10 PM,12:10 PM,FREE,BUSY
