,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/22/19,01:05 PM,01:05 PM,Huskies at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN- Boston 25,02/22/19,02/22/19,04:05 PM,04:05 PM,False,True,02/22/19,12:05 PM,12:05 PM,FREE,BUSY
1,02/23/19,01:05 PM,01:05 PM,Yankees at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN+ ----- Local Radio: WEEI 93.7,02/23/19,02/23/19,04:05 PM,04:05 PM,False,True,02/23/19,12:05 PM,12:05 PM,FREE,BUSY
2,02/24/19,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN ----- Local Radio: WEEI 850,02/24/19,02/24/19,04:05 PM,04:05 PM,False,True,02/24/19,12:05 PM,12:05 PM,FREE,BUSY
3,02/27/19,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park - Ft. Myers,Local Radio: WEEI 850,02/27/19,02/27/19,04:05 PM,04:05 PM,False,True,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
4,02/28/19,01:05 PM,01:05 PM,Nationals at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN- Boston 25 ----- Local Radio: WEEI 850,02/28/19,02/28/19,04:05 PM,04:05 PM,False,True,02/28/19,12:05 PM,12:05 PM,FREE,BUSY
5,03/02/19,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN ----- Local Radio: WEEI 850,03/02/19,03/02/19,04:05 PM,04:05 PM,False,True,03/02/19,12:05 PM,12:05 PM,FREE,BUSY
6,03/03/19,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN ----- Local Radio: WEEI 93.7,03/03/19,03/03/19,04:05 PM,04:05 PM,False,True,03/03/19,12:05 PM,12:05 PM,FREE,BUSY
7,03/06/19,01:05 PM,01:05 PM,Pirates at Red Sox,JetBlue Park - Ft. Myers,Local TV: ESPN ----- Local Radio: WEEI 850,03/06/19,03/06/19,04:05 PM,04:05 PM,False,True,03/06/19,12:05 PM,12:05 PM,FREE,BUSY
8,03/07/19,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,Local TV: ESPN ----- Local Radio: WEEI 850,03/07/19,03/07/19,04:05 PM,04:05 PM,False,True,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
9,03/09/19,01:05 PM,01:05 PM,Mets at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN ----- Local Radio: WEEI 93.7,03/09/19,03/09/19,04:05 PM,04:05 PM,False,True,03/09/19,12:05 PM,12:05 PM,FREE,BUSY
10,03/12/19,01:05 PM,01:05 PM,Tigers at Red Sox,JetBlue Park - Ft. Myers,Local Radio: WEEI 850,03/12/19,03/12/19,04:05 PM,04:05 PM,False,True,03/12/19,12:05 PM,12:05 PM,FREE,BUSY
11,03/13/19,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,Local Radio: WEEI 850,03/13/19,03/13/19,04:05 PM,04:05 PM,False,True,03/13/19,12:05 PM,12:05 PM,FREE,BUSY
12,03/16/19,01:05 PM,01:05 PM,Braves at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN ----- Local Radio: WEEI 93.7,03/16/19,03/16/19,04:05 PM,04:05 PM,False,True,03/16/19,12:05 PM,12:05 PM,FREE,BUSY
13,03/17/19,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN ----- Local Radio: WEEI 850,03/17/19,03/17/19,04:05 PM,04:05 PM,False,True,03/17/19,12:05 PM,12:05 PM,FREE,BUSY
14,03/21/19,06:05 PM,06:05 PM,Rays at Red Sox,JetBlue Park - Ft. Myers,Local TV: NESN+ ----- Local Radio: WEEI 850,03/21/19,03/21/19,09:05 PM,09:05 PM,False,True,03/21/19,05:05 PM,05:05 PM,FREE,BUSY
