,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/24/19,01:10 PM,03:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local Radio: KOA 850 AM/94.1 FM ,02/24/19,02/24/19,04:10 PM,06:10 PM,False,True,02/24/19,12:10 PM,02:10 PM,FREE,BUSY
1,02/26/19,01:10 PM,03:10 PM,Indians at Rockies,Salt River Fields at Talking Stick - Scottsdale,,02/26/19,02/26/19,04:10 PM,06:10 PM,False,True,02/26/19,12:10 PM,02:10 PM,FREE,BUSY
2,02/27/19,01:10 PM,03:10 PM,Angels at Rockies,Salt River Fields at Talking Stick - Scottsdale,,02/27/19,02/27/19,04:10 PM,06:10 PM,False,True,02/27/19,12:10 PM,02:10 PM,FREE,BUSY
3,03/03/19,01:10 PM,03:10 PM,Giants at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local Radio: KOA 850 AM/94.1 FM ,03/03/19,03/03/19,04:10 PM,06:10 PM,False,True,03/03/19,12:10 PM,02:10 PM,FREE,BUSY
4,03/05/19,01:10 PM,03:10 PM,Brewers at Rockies,Salt River Fields at Talking Stick - Scottsdale,,03/05/19,03/05/19,04:10 PM,06:10 PM,False,True,03/05/19,12:10 PM,02:10 PM,FREE,BUSY
5,03/06/19,01:10 PM,03:10 PM,Angels at Rockies,Salt River Fields at Talking Stick - Scottsdale,,03/06/19,03/06/19,04:10 PM,06:10 PM,False,True,03/06/19,12:10 PM,02:10 PM,FREE,BUSY
6,03/08/19,01:10 PM,03:10 PM,Rangers at Rockies,Salt River Fields at Talking Stick - Scottsdale,,03/08/19,03/08/19,04:10 PM,06:10 PM,False,True,03/08/19,12:10 PM,02:10 PM,FREE,BUSY
7,03/09/19,05:10 PM,07:10 PM,D-backs at Rockies,Estadio de Beisbol Monterrey - Monterrey,,03/09/19,03/09/19,08:10 PM,10:10 PM,False,True,03/09/19,04:10 PM,06:10 PM,FREE,BUSY
8,03/10/19,02:10 PM,04:10 PM,Dodgers at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local Radio: KOA 850 AM/94.1 FM ,03/10/19,03/10/19,05:10 PM,07:10 PM,False,True,03/10/19,01:10 PM,03:10 PM,FREE,BUSY
9,03/11/19,02:10 PM,04:10 PM,Athletics at Rockies,Salt River Fields at Talking Stick - Scottsdale,,03/11/19,03/11/19,05:10 PM,07:10 PM,False,True,03/11/19,01:10 PM,03:10 PM,FREE,BUSY
10,03/13/19,02:10 PM,04:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,,03/13/19,03/13/19,05:10 PM,07:10 PM,False,True,03/13/19,01:10 PM,03:10 PM,FREE,BUSY
11,03/15/19,02:10 PM,04:10 PM,Royals at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local TV: ATT SportsNet-RM,03/15/19,03/15/19,05:10 PM,07:10 PM,False,True,03/15/19,01:10 PM,03:10 PM,FREE,BUSY
12,03/18/19,02:10 PM,04:10 PM,Reds at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local TV: ATT SportsNet-RM- MLBN (out-of-market only),03/18/19,03/18/19,05:10 PM,07:10 PM,False,True,03/18/19,01:10 PM,03:10 PM,FREE,BUSY
13,03/20/19,07:40 PM,09:40 PM,Royals at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ,03/20/19,03/21/19,10:40 PM,12:40 AM,False,True,03/20/19,06:40 PM,08:40 PM,FREE,BUSY
14,03/22/19,07:40 PM,09:40 PM,Padres at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ,03/22/19,03/23/19,10:40 PM,12:40 AM,False,True,03/22/19,06:40 PM,08:40 PM,FREE,BUSY
15,03/23/19,07:40 PM,09:40 PM,Cubs at Rockies,Salt River Fields at Talking Stick - Scottsdale,Local TV: ATT SportsNet-RM- MLBN (out-of-market only) ----- Local Radio: KOA 850 AM/94.1 FM ,03/23/19,03/24/19,10:40 PM,12:40 AM,False,True,03/23/19,06:40 PM,08:40 PM,FREE,BUSY
16,04/05/19,02:10 PM,04:10 PM,Dodgers at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ,04/05/19,04/05/19,05:10 PM,07:10 PM,False,True,04/05/19,01:10 PM,03:10 PM,FREE,BUSY
17,04/06/19,06:10 PM,08:10 PM,Dodgers at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ,04/06/19,04/06/19,09:10 PM,11:10 PM,False,True,04/06/19,05:10 PM,07:10 PM,FREE,BUSY
18,04/07/19,06:37 PM,08:37 PM,Dodgers at Rockies,Coors Field - Denver,Local TV: ESPN ----- Local Radio: KOA 850 AM/94.1 FM ,04/07/19,04/07/19,09:37 PM,11:37 PM,False,True,04/07/19,05:37 PM,07:37 PM,FREE,BUSY
19,04/08/19,06:40 PM,08:40 PM,Braves at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ,04/08/19,04/08/19,09:40 PM,11:40 PM,False,True,04/08/19,05:40 PM,07:40 PM,FREE,BUSY
20,04/09/19,06:40 PM,08:40 PM,Braves at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ,04/09/19,04/09/19,09:40 PM,11:40 PM,False,True,04/09/19,05:40 PM,07:40 PM,FREE,BUSY
21,04/18/19,06:40 PM,08:40 PM,Phillies at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,04/18/19,04/18/19,09:40 PM,11:40 PM,False,True,04/18/19,05:40 PM,07:40 PM,FREE,BUSY
22,04/19/19,06:40 PM,08:40 PM,Phillies at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM- FB-WATCH (out-of-market only) ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,04/19/19,04/19/19,09:40 PM,11:40 PM,False,True,04/19/19,05:40 PM,07:40 PM,FREE,BUSY
23,04/20/19,06:10 PM,08:10 PM,Phillies at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,04/20/19,04/20/19,09:10 PM,11:10 PM,False,True,04/20/19,05:10 PM,07:10 PM,FREE,BUSY
24,04/21/19,01:10 PM,03:10 PM,Phillies at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,04/21/19,04/21/19,04:10 PM,06:10 PM,False,True,04/21/19,12:10 PM,02:10 PM,FREE,BUSY
25,04/22/19,06:40 PM,08:40 PM,Nationals at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,04/22/19,04/22/19,09:40 PM,11:40 PM,False,True,04/22/19,05:40 PM,07:40 PM,FREE,BUSY
26,04/23/19,06:40 PM,08:40 PM,Nationals at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,04/23/19,04/23/19,09:40 PM,11:40 PM,False,True,04/23/19,05:40 PM,07:40 PM,FREE,BUSY
27,04/24/19,01:10 PM,03:10 PM,Nationals at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,04/24/19,04/24/19,04:10 PM,06:10 PM,False,True,04/24/19,12:10 PM,02:10 PM,FREE,BUSY
28,05/03/19,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/03/19,05/03/19,09:40 PM,11:40 PM,False,True,05/03/19,05:40 PM,07:40 PM,FREE,BUSY
29,05/04/19,06:10 PM,08:10 PM,D-backs at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/04/19,05/04/19,09:10 PM,11:10 PM,False,True,05/04/19,05:10 PM,07:10 PM,FREE,BUSY
30,05/05/19,01:10 PM,03:10 PM,D-backs at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/05/19,05/05/19,04:10 PM,06:10 PM,False,True,05/05/19,12:10 PM,02:10 PM,FREE,BUSY
31,05/07/19,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/07/19,05/07/19,09:40 PM,11:40 PM,False,True,05/07/19,05:40 PM,07:40 PM,FREE,BUSY
32,05/09/19,01:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM- MLBN (out-of-market only) ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/09/19,05/09/19,04:10 PM,06:10 PM,False,True,05/09/19,12:10 PM,02:10 PM,FREE,BUSY
33,05/10/19,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/10/19,05/10/19,09:40 PM,11:40 PM,False,True,05/10/19,05:40 PM,07:40 PM,FREE,BUSY
34,05/11/19,06:10 PM,08:10 PM,Padres at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/11/19,05/11/19,09:10 PM,11:10 PM,False,True,05/11/19,05:10 PM,07:10 PM,FREE,BUSY
35,05/12/19,01:10 PM,03:10 PM,Padres at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/12/19,05/12/19,04:10 PM,06:10 PM,False,True,05/12/19,12:10 PM,02:10 PM,FREE,BUSY
36,05/24/19,06:40 PM,08:40 PM,Orioles at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/24/19,05/24/19,09:40 PM,11:40 PM,False,True,05/24/19,05:40 PM,07:40 PM,FREE,BUSY
37,05/25/19,07:10 PM,09:10 PM,Orioles at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/25/19,05/26/19,10:10 PM,12:10 AM,False,True,05/25/19,06:10 PM,08:10 PM,FREE,BUSY
38,05/26/19,01:10 PM,03:10 PM,Orioles at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/26/19,05/26/19,04:10 PM,06:10 PM,False,True,05/26/19,12:10 PM,02:10 PM,FREE,BUSY
39,05/27/19,01:10 PM,03:10 PM,D-backs at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/27/19,05/27/19,04:10 PM,06:10 PM,False,True,05/27/19,12:10 PM,02:10 PM,FREE,BUSY
40,05/28/19,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/28/19,05/28/19,09:40 PM,11:40 PM,False,True,05/28/19,05:40 PM,07:40 PM,FREE,BUSY
41,05/29/19,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/29/19,05/29/19,09:40 PM,11:40 PM,False,True,05/29/19,05:40 PM,07:40 PM,FREE,BUSY
42,05/30/19,01:10 PM,03:10 PM,D-backs at Rockies,Coors Field - Denver,Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/30/19,05/30/19,04:10 PM,06:10 PM,False,True,05/30/19,12:10 PM,02:10 PM,FREE,BUSY
43,05/31/19,06:40 PM,08:40 PM,Blue Jays at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,05/31/19,05/31/19,09:40 PM,11:40 PM,False,True,05/31/19,05:40 PM,07:40 PM,FREE,BUSY
44,06/01/19,07:10 PM,09:10 PM,Blue Jays at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,06/01/19,06/02/19,10:10 PM,12:10 AM,False,True,06/01/19,06:10 PM,08:10 PM,FREE,BUSY
45,06/02/19,01:10 PM,03:10 PM,Blue Jays at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,06/02/19,06/02/19,04:10 PM,06:10 PM,False,True,06/02/19,12:10 PM,02:10 PM,FREE,BUSY
46,06/10/19,06:40 PM,08:40 PM,Cubs at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,06/10/19,06/10/19,09:40 PM,11:40 PM,False,True,06/10/19,05:40 PM,07:40 PM,FREE,BUSY
47,06/11/19,06:40 PM,08:40 PM,Cubs at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,06/11/19,06/11/19,09:40 PM,11:40 PM,False,True,06/11/19,05:40 PM,07:40 PM,FREE,BUSY
48,06/12/19,01:10 PM,03:10 PM,Cubs at Rockies,Coors Field - Denver,Local TV: ATT SportsNet-RM- MLBN (out-of-market only) ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150,06/12/19,06/12/19,04:10 PM,06:10 PM,False,True,06/12/19,12:10 PM,02:10 PM,FREE,BUSY
