,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,02:05 PM,03:05 PM,Rangers at Royals,Surprise Stadium - Surprise,Local Radio: MLB.com,02/23/19,02/23/19,05:05 PM,06:05 PM,False,True,02/23/19,01:05 PM,02:05 PM,FREE,BUSY
1,02/25/19,02:05 PM,03:05 PM,Rockies at Royals,Surprise Stadium - Surprise,Local Radio: KCSP 610,02/25/19,02/25/19,05:05 PM,06:05 PM,False,True,02/25/19,01:05 PM,02:05 PM,FREE,BUSY
2,02/26/19,02:05 PM,03:05 PM,Dodgers at Royals,Surprise Stadium - Surprise,Local Radio: MLB.com,02/26/19,02/26/19,05:05 PM,06:05 PM,False,True,02/26/19,01:05 PM,02:05 PM,FREE,BUSY
3,02/28/19,02:05 PM,03:05 PM,Padres at Royals,Surprise Stadium - Surprise,Local Radio: KCSP 610,02/28/19,02/28/19,05:05 PM,06:05 PM,False,True,02/28/19,01:05 PM,02:05 PM,FREE,BUSY
4,03/02/19,02:05 PM,03:05 PM,Mariners at Royals,Surprise Stadium - Surprise,Local Radio: MLB.com,03/02/19,03/02/19,05:05 PM,06:05 PM,False,True,03/02/19,01:05 PM,02:05 PM,FREE,BUSY
5,03/05/19,07:05 PM,08:05 PM,D-backs at Royals,Surprise Stadium - Surprise,Local Radio: KCSP 610,03/05/19,03/05/19,10:05 PM,11:05 PM,False,True,03/05/19,06:05 PM,07:05 PM,FREE,BUSY
6,03/07/19,02:05 PM,03:05 PM,Angels at Royals,Surprise Stadium - Surprise,Local Radio: KCSP 610,03/07/19,03/07/19,05:05 PM,06:05 PM,False,True,03/07/19,01:05 PM,02:05 PM,FREE,BUSY
7,03/08/19,02:05 PM,03:05 PM,Reds at Royals,Surprise Stadium - Surprise,Local Radio: MLB.com,03/08/19,03/08/19,05:05 PM,06:05 PM,False,True,03/08/19,01:05 PM,02:05 PM,FREE,BUSY
8,03/10/19,03:05 PM,04:05 PM,Padres at Royals,Surprise Stadium - Surprise,Local Radio: KCSP 610,03/10/19,03/10/19,06:05 PM,07:05 PM,False,True,03/10/19,02:05 PM,03:05 PM,FREE,BUSY
9,03/13/19,03:05 PM,04:05 PM,Indians at Royals,Surprise Stadium - Surprise,Local TV: FSKC- MLBN (out-of-market only) ----- Local Radio: KCSP 610,03/13/19,03/13/19,06:05 PM,07:05 PM,False,True,03/13/19,02:05 PM,03:05 PM,FREE,BUSY
