,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/22/19,01:05 PM,01:05 PM,Fire at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,,02/22/19,02/22/19,04:05 PM,04:05 PM,False,True,02/22/19,12:05 PM,12:05 PM,FREE,BUSY
1,02/24/19,01:05 PM,01:05 PM,Phillies at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: WXYT 1270,02/24/19,02/24/19,04:05 PM,04:05 PM,False,True,02/24/19,12:05 PM,12:05 PM,FREE,BUSY
2,02/27/19,01:05 PM,01:05 PM,Yankees at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: WXYT 1270,02/27/19,02/27/19,04:05 PM,04:05 PM,False,True,02/27/19,12:05 PM,12:05 PM,FREE,BUSY
3,03/01/19,01:05 PM,01:05 PM,Mets at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: WXYT 1270,03/01/19,03/01/19,04:05 PM,04:05 PM,False,True,03/01/19,12:05 PM,12:05 PM,FREE,BUSY
4,03/02/19,01:05 PM,01:05 PM,Braves at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: 97.1 The Ticket,03/02/19,03/02/19,04:05 PM,04:05 PM,False,True,03/02/19,12:05 PM,12:05 PM,FREE,BUSY
5,03/04/19,01:05 PM,01:05 PM,Cardinals at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: WXYT 1270,03/04/19,03/04/19,04:05 PM,04:05 PM,False,True,03/04/19,12:05 PM,12:05 PM,FREE,BUSY
6,03/05/19,01:05 PM,01:05 PM,Blue Jays at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: WXYT 1270,03/05/19,03/05/19,04:05 PM,04:05 PM,False,True,03/05/19,12:05 PM,12:05 PM,FREE,BUSY
7,03/07/19,01:05 PM,01:05 PM,Phillies at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: WXYT 1270,03/07/19,03/07/19,04:05 PM,04:05 PM,False,True,03/07/19,12:05 PM,12:05 PM,FREE,BUSY
8,03/09/19,01:05 PM,01:05 PM,Braves at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: 97.1 The Ticket,03/09/19,03/09/19,04:05 PM,04:05 PM,False,True,03/09/19,12:05 PM,12:05 PM,FREE,BUSY
9,03/10/19,01:05 PM,01:05 PM,Yankees at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: WXYT 1270,03/10/19,03/10/19,04:05 PM,04:05 PM,False,True,03/10/19,12:05 PM,12:05 PM,FREE,BUSY
10,03/14/19,01:05 PM,01:05 PM,Red Sox at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local TV: FS-D- MLBN (out-of-market only) ----- Local Radio: WXYT 1270,03/14/19,03/14/19,04:05 PM,04:05 PM,False,True,03/14/19,12:05 PM,12:05 PM,FREE,BUSY
11,03/16/19,01:05 PM,01:05 PM,Pirates at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: WXYT 1270,03/16/19,03/16/19,04:05 PM,04:05 PM,False,True,03/16/19,12:05 PM,12:05 PM,FREE,BUSY
12,03/17/19,01:05 PM,01:05 PM,Braves at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local TV: FS-D+ ----- Local Radio: WXYT 1270,03/17/19,03/17/19,04:05 PM,04:05 PM,False,True,03/17/19,12:05 PM,12:05 PM,FREE,BUSY
13,03/18/19,01:05 PM,01:05 PM,Orioles at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local TV: FS-D ----- Local Radio: WXYT 1270,03/18/19,03/18/19,04:05 PM,04:05 PM,False,True,03/18/19,12:05 PM,12:05 PM,FREE,BUSY
14,03/21/19,01:05 PM,01:05 PM,Astros at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local TV: FS-D,03/21/19,03/21/19,04:05 PM,04:05 PM,False,True,03/21/19,12:05 PM,12:05 PM,FREE,BUSY
15,03/23/19,01:05 PM,01:05 PM,Rays at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local Radio: 97.1 The Ticket,03/23/19,03/23/19,04:05 PM,04:05 PM,False,True,03/23/19,12:05 PM,12:05 PM,FREE,BUSY
16,03/24/19,01:05 PM,01:05 PM,Blue Jays at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,03/24/19,03/24/19,04:05 PM,04:05 PM,False,True,03/24/19,12:05 PM,12:05 PM,FREE,BUSY
17,03/25/19,01:05 PM,01:05 PM,Tigers Futures at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,,03/25/19,03/25/19,04:05 PM,04:05 PM,False,True,03/25/19,12:05 PM,12:05 PM,FREE,BUSY
18,04/04/19,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,04/04/19,04/04/19,04:10 PM,04:10 PM,False,True,04/04/19,12:10 PM,12:10 PM,FREE,BUSY
19,04/06/19,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,04/06/19,04/06/19,04:10 PM,04:10 PM,False,True,04/06/19,12:10 PM,12:10 PM,FREE,BUSY
20,04/07/19,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,04/07/19,04/07/19,04:10 PM,04:10 PM,False,True,04/07/19,12:10 PM,12:10 PM,FREE,BUSY
21,04/09/19,01:10 PM,01:10 PM,Indians at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,04/09/19,04/09/19,04:10 PM,04:10 PM,False,True,04/09/19,12:10 PM,12:10 PM,FREE,BUSY
22,04/10/19,01:10 PM,01:10 PM,Indians at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,04/10/19,04/10/19,04:10 PM,04:10 PM,False,True,04/10/19,12:10 PM,12:10 PM,FREE,BUSY
23,04/11/19,01:10 PM,01:10 PM,Indians at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,04/11/19,04/11/19,04:10 PM,04:10 PM,False,True,04/11/19,12:10 PM,12:10 PM,FREE,BUSY
24,04/16/19,06:40 PM,06:40 PM,Pirates at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,04/16/19,04/16/19,09:40 PM,09:40 PM,False,True,04/16/19,05:40 PM,05:40 PM,FREE,BUSY
25,04/17/19,06:40 PM,06:40 PM,Pirates at Tigers,Comerica Park - Detroit,Local TV: FS-D+ ----- Local Radio: 97.1 The Ticket,04/17/19,04/17/19,09:40 PM,09:40 PM,False,True,04/17/19,05:40 PM,05:40 PM,FREE,BUSY
26,04/18/19,01:10 PM,01:10 PM,White Sox at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,04/18/19,04/18/19,04:10 PM,04:10 PM,False,True,04/18/19,12:10 PM,12:10 PM,FREE,BUSY
27,04/19/19,07:10 PM,07:10 PM,White Sox at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,04/19/19,04/19/19,10:10 PM,10:10 PM,False,True,04/19/19,06:10 PM,06:10 PM,FREE,BUSY
28,04/21/19,01:10 PM,01:10 PM,White Sox at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,04/21/19,04/21/19,04:10 PM,04:10 PM,False,True,04/21/19,12:10 PM,12:10 PM,FREE,BUSY
29,05/03/19,07:10 PM,07:10 PM,Royals at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,05/03/19,05/03/19,10:10 PM,10:10 PM,False,True,05/03/19,06:10 PM,06:10 PM,FREE,BUSY
30,05/04/19,04:10 PM,04:10 PM,Royals at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,05/04/19,05/04/19,07:10 PM,07:10 PM,False,True,05/04/19,03:10 PM,03:10 PM,FREE,BUSY
31,05/05/19,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,05/05/19,05/05/19,04:10 PM,04:10 PM,False,True,05/05/19,12:10 PM,12:10 PM,FREE,BUSY
32,05/07/19,07:10 PM,07:10 PM,Angels at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,05/07/19,05/07/19,10:10 PM,10:10 PM,False,True,05/07/19,06:10 PM,06:10 PM,FREE,BUSY
33,05/08/19,07:10 PM,07:10 PM,Angels at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,05/08/19,05/08/19,10:10 PM,10:10 PM,False,True,05/08/19,06:10 PM,06:10 PM,FREE,BUSY
34,05/09/19,01:10 PM,01:10 PM,Angels at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,05/09/19,05/09/19,04:10 PM,04:10 PM,False,True,05/09/19,12:10 PM,12:10 PM,FREE,BUSY
35,05/13/19,07:10 PM,07:10 PM,Astros at Tigers,Comerica Park - Detroit,Local TV: FS-D ----- Local Radio: 97.1 The Ticket,05/13/19,05/13/19,10:10 PM,10:10 PM,False,True,05/13/19,06:10 PM,06:10 PM,FREE,BUSY
