,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,05:05 PM,06:05 PM,Rays at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: TIBN,02/23/19,02/23/19,08:05 PM,09:05 PM,False,True,02/23/19,04:05 PM,05:05 PM,FREE,BUSY
1,02/25/19,12:05 PM,01:05 PM,Orioles at Twins,CenturyLink Sports Complex - Fort Myers,,02/25/19,02/25/19,03:05 PM,04:05 PM,False,True,02/25/19,11:05 AM,12:05 PM,FREE,BUSY
2,02/26/19,12:05 PM,01:05 PM,Pirates at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: WCCO 830,02/26/19,02/26/19,03:05 PM,04:05 PM,False,True,02/26/19,11:05 AM,12:05 PM,FREE,BUSY
3,03/01/19,12:05 PM,01:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO- MLBN (out-of-market only) ----- Local Radio: TIBN- WCCO 830,03/01/19,03/01/19,03:05 PM,04:05 PM,False,True,03/01/19,11:05 AM,12:05 PM,FREE,BUSY
4,03/03/19,12:05 PM,01:05 PM,Phillies at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: WCCO 830- TIBN,03/03/19,03/03/19,03:05 PM,04:05 PM,False,True,03/03/19,11:05 AM,12:05 PM,FREE,BUSY
5,03/04/19,12:05 PM,01:05 PM,Orioles at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN- WCCO 830,03/04/19,03/04/19,03:05 PM,04:05 PM,False,True,03/04/19,11:05 AM,12:05 PM,FREE,BUSY
6,03/05/19,12:05 PM,01:05 PM,Rays at Twins,CenturyLink Sports Complex - Fort Myers,,03/05/19,03/05/19,03:05 PM,04:05 PM,False,True,03/05/19,11:05 AM,12:05 PM,FREE,BUSY
7,03/08/19,12:05 PM,01:05 PM,Rays at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: TIBN- WCCO 830,03/08/19,03/08/19,03:05 PM,04:05 PM,False,True,03/08/19,11:05 AM,12:05 PM,FREE,BUSY
8,03/10/19,12:05 PM,01:05 PM,Blue Jays at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: TIBN- WCCO 830,03/10/19,03/10/19,03:05 PM,04:05 PM,False,True,03/10/19,11:05 AM,12:05 PM,FREE,BUSY
9,03/11/19,12:05 PM,01:05 PM,Tigers at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN- WCCO 830,03/11/19,03/11/19,03:05 PM,04:05 PM,False,True,03/11/19,11:05 AM,12:05 PM,FREE,BUSY
10,03/14/19,12:05 PM,01:05 PM,Nationals at Twins,CenturyLink Sports Complex - Fort Myers,Local Radio: TIBN,03/14/19,03/14/19,03:05 PM,04:05 PM,False,True,03/14/19,11:05 AM,12:05 PM,FREE,BUSY
11,03/15/19,12:05 PM,01:05 PM,Orioles at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN- WCCO 830,03/15/19,03/15/19,03:05 PM,04:05 PM,False,True,03/15/19,11:05 AM,12:05 PM,FREE,BUSY
12,03/18/19,12:05 PM,01:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN- WCCO 830,03/18/19,03/18/19,03:05 PM,04:05 PM,False,True,03/18/19,11:05 AM,12:05 PM,FREE,BUSY
13,03/20/19,12:05 PM,01:05 PM,Pirates at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN,03/20/19,03/20/19,03:05 PM,04:05 PM,False,True,03/20/19,11:05 AM,12:05 PM,FREE,BUSY
14,03/22/19,05:05 PM,06:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO+ ----- Local Radio: TIBN- WCCO 830,03/22/19,03/22/19,08:05 PM,09:05 PM,False,True,03/22/19,04:05 PM,05:05 PM,FREE,BUSY
15,03/24/19,12:05 PM,01:05 PM,Yankees at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN- WCCO 830,03/24/19,03/24/19,03:05 PM,04:05 PM,False,True,03/24/19,11:05 AM,12:05 PM,FREE,BUSY
16,03/25/19,12:05 PM,01:05 PM,Red Wings at Twins,CenturyLink Sports Complex - Fort Myers,,03/25/19,03/25/19,03:05 PM,04:05 PM,False,True,03/25/19,11:05 AM,12:05 PM,FREE,BUSY
17,03/26/19,01:05 PM,02:05 PM,Rockies at Twins,CenturyLink Sports Complex - Fort Myers,Local TV: FSNO ----- Local Radio: TIBN- WCCO 830,03/26/19,03/26/19,04:05 PM,05:05 PM,False,True,03/26/19,12:05 PM,01:05 PM,FREE,BUSY
18,03/28/19,03:10 PM,04:10 PM,Indians at Twins,Target Field - Minneapolis,Local TV: FSNO ----- Local Radio: TIBN- twinsbeisbol.com ,03/28/19,03/28/19,06:10 PM,07:10 PM,False,True,03/28/19,02:10 PM,03:10 PM,FREE,BUSY
19,03/30/19,01:10 PM,02:10 PM,Indians at Twins,Target Field - Minneapolis,Local TV: FSNO ----- Local Radio: TIBN,03/30/19,03/30/19,04:10 PM,05:10 PM,False,True,03/30/19,12:10 PM,01:10 PM,FREE,BUSY
20,03/31/19,01:10 PM,02:10 PM,Indians at Twins,Target Field - Minneapolis,Local TV: FSNO ----- Local Radio: TIBN- twinsbeisbol.com ,03/31/19,03/31/19,04:10 PM,05:10 PM,False,True,03/31/19,12:10 PM,01:10 PM,FREE,BUSY
21,04/13/19,01:10 PM,02:10 PM,Tigers at Twins,Target Field - Minneapolis,Local TV: FSNO ----- Local Radio: TIBN,04/13/19,04/13/19,04:10 PM,05:10 PM,False,True,04/13/19,12:10 PM,01:10 PM,FREE,BUSY
22,04/14/19,01:10 PM,02:10 PM,Tigers at Twins,Target Field - Minneapolis,Local TV: FSNO ----- Local Radio: TIBN- twinsbeisbol.com ,04/14/19,04/14/19,04:10 PM,05:10 PM,False,True,04/14/19,12:10 PM,01:10 PM,FREE,BUSY
23,04/15/19,06:40 PM,07:40 PM,Blue Jays at Twins,Target Field - Minneapolis,Local TV: FSNO ----- Local Radio: TIBN,04/15/19,04/15/19,09:40 PM,10:40 PM,False,True,04/15/19,05:40 PM,06:40 PM,FREE,BUSY
24,04/16/19,06:40 PM,07:40 PM,Blue Jays at Twins,Target Field - Minneapolis,Local TV: FSNO ----- Local Radio: TIBN- twinsbeisbol.com ,04/16/19,04/16/19,09:40 PM,10:40 PM,False,True,04/16/19,05:40 PM,06:40 PM,FREE,BUSY
25,04/17/19,06:40 PM,07:40 PM,Blue Jays at Twins,Target Field - Minneapolis,Local TV: FSNO ----- Local Radio: TIBN,04/17/19,04/17/19,09:40 PM,10:40 PM,False,True,04/17/19,05:40 PM,06:40 PM,FREE,BUSY
