,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,02:05 PM,03:05 PM,Dodgers at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: WGN 720,02/23/19,02/23/19,05:05 PM,06:05 PM,False,True,02/23/19,01:05 PM,02:05 PM,FREE,BUSY
1,02/26/19,02:05 PM,03:05 PM,Royals at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com,02/26/19,02/26/19,05:05 PM,06:05 PM,False,True,02/26/19,01:05 PM,02:05 PM,FREE,BUSY
2,02/27/19,02:05 PM,03:05 PM,Reds at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com,02/27/19,02/27/19,05:05 PM,06:05 PM,False,True,02/27/19,01:05 PM,02:05 PM,FREE,BUSY
3,03/02/19,02:05 PM,03:05 PM,Rockies at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com,03/02/19,03/02/19,05:05 PM,06:05 PM,False,True,03/02/19,01:05 PM,02:05 PM,FREE,BUSY
4,03/04/19,02:05 PM,03:05 PM,Angels at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: WGN 720,03/04/19,03/04/19,05:05 PM,06:05 PM,False,True,03/04/19,01:05 PM,02:05 PM,FREE,BUSY
5,03/05/19,02:05 PM,03:05 PM,Padres at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com,03/05/19,03/05/19,05:05 PM,06:05 PM,False,True,03/05/19,01:05 PM,02:05 PM,FREE,BUSY
6,03/07/19,02:05 PM,03:05 PM,Brewers at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: WGN 720,03/07/19,03/07/19,05:05 PM,06:05 PM,False,True,03/07/19,01:05 PM,02:05 PM,FREE,BUSY
7,03/10/19,03:05 PM,04:05 PM,Athletics at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: WGN 720,03/10/19,03/10/19,06:05 PM,07:05 PM,False,True,03/10/19,02:05 PM,03:05 PM,FREE,BUSY
8,03/15/19,03:05 PM,04:05 PM,Cubs at White Sox,Camelback Ranch - Glendale,Local TV: WGN- MLBN (out-of-market only) ----- Local Radio: WGN 720,03/15/19,03/15/19,06:05 PM,07:05 PM,False,True,03/15/19,02:05 PM,03:05 PM,FREE,BUSY
9,03/16/19,03:05 PM,04:05 PM,Dodgers at White Sox,Camelback Ranch - Glendale,Local TV: NBC Sports Chicago,03/16/19,03/16/19,06:05 PM,07:05 PM,False,True,03/16/19,02:05 PM,03:05 PM,FREE,BUSY
10,03/18/19,03:05 PM,04:05 PM,Giants at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com ----- Local Radio: WGN 720,03/18/19,03/18/19,06:05 PM,07:05 PM,False,True,03/18/19,02:05 PM,03:05 PM,FREE,BUSY
11,03/20/19,03:05 PM,04:05 PM,D-backs at White Sox,Camelback Ranch - Glendale,Local TV: NBC Sports Chicago,03/20/19,03/20/19,06:05 PM,07:05 PM,False,True,03/20/19,02:05 PM,03:05 PM,FREE,BUSY
12,03/21/19,03:05 PM,04:05 PM,Rangers at White Sox,Camelback Ranch - Glendale,Local TV: MLB.com,03/21/19,03/21/19,06:05 PM,07:05 PM,False,True,03/21/19,02:05 PM,03:05 PM,FREE,BUSY
13,03/24/19,02:05 PM,03:05 PM,Indians at White Sox,Camelback Ranch - Glendale,Local TV: NBC Sports Chicago ----- Local Radio: WGN 720,03/24/19,03/24/19,05:05 PM,06:05 PM,False,True,03/24/19,01:05 PM,02:05 PM,FREE,BUSY
