,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/25/19,01:05 PM,01:05 PM,Blue Jays at Yankees,George M. Steinbrenner Field - Tampa,Local TV: YES- ESPN+,02/25/19,02/25/19,04:05 PM,04:05 PM,False,True,02/25/19,12:05 PM,12:05 PM,FREE,BUSY
1,02/28/19,01:05 PM,01:05 PM,Pirates at Yankees,George M. Steinbrenner Field - Tampa,,02/28/19,02/28/19,04:05 PM,04:05 PM,False,True,02/28/19,12:05 PM,12:05 PM,FREE,BUSY
2,03/01/19,06:35 PM,06:35 PM,Orioles at Yankees,George M. Steinbrenner Field - Tampa,,03/01/19,03/01/19,09:35 PM,09:35 PM,False,True,03/01/19,05:35 PM,05:35 PM,FREE,BUSY
3,03/03/19,01:05 PM,01:05 PM,Tigers at Yankees,George M. Steinbrenner Field - Tampa,Local TV: YES ----- Local Radio: WFAN 660/101.9 FM,03/03/19,03/03/19,04:05 PM,04:05 PM,False,True,03/03/19,12:05 PM,12:05 PM,FREE,BUSY
4,03/05/19,01:05 PM,01:05 PM,Braves at Yankees,George M. Steinbrenner Field - Tampa,Local TV: YES,03/05/19,03/05/19,04:05 PM,04:05 PM,False,True,03/05/19,12:05 PM,12:05 PM,FREE,BUSY
5,03/06/19,01:05 PM,01:05 PM,Cardinals at Yankees,George M. Steinbrenner Field - Tampa,Local TV: YES,03/06/19,03/06/19,04:05 PM,04:05 PM,False,True,03/06/19,12:05 PM,12:05 PM,FREE,BUSY
6,03/08/19,06:35 PM,06:35 PM,Tigers at Yankees,George M. Steinbrenner Field - Tampa,Local TV: YES ----- Local Radio: WFAN 660/101.9 FM,03/08/19,03/08/19,09:35 PM,09:35 PM,False,True,03/08/19,05:35 PM,05:35 PM,FREE,BUSY
7,03/10/19,01:05 PM,01:05 PM,Pirates at Yankees,George M. Steinbrenner Field - Tampa,Local Radio: WFAN 660/101.9 FM,03/10/19,03/10/19,04:05 PM,04:05 PM,False,True,03/10/19,12:05 PM,12:05 PM,FREE,BUSY
8,03/12/19,06:35 PM,06:35 PM,Orioles at Yankees,George M. Steinbrenner Field - Tampa,Local TV: YES ----- Local Radio: WFAN 660/101.9 FM,03/12/19,03/12/19,09:35 PM,09:35 PM,False,True,03/12/19,05:35 PM,05:35 PM,FREE,BUSY
9,03/13/19,06:35 PM,06:35 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,,03/13/19,03/13/19,09:35 PM,09:35 PM,False,True,03/13/19,05:35 PM,05:35 PM,FREE,BUSY
10,03/15/19,01:05 PM,01:05 PM,Red Sox at Yankees,George M. Steinbrenner Field - Tampa,Local TV: YES- MLBN (out-of-market only),03/15/19,03/15/19,04:05 PM,04:05 PM,False,True,03/15/19,12:05 PM,12:05 PM,FREE,BUSY
11,03/16/19,01:05 PM,01:05 PM,Blue Jays at Yankees,George M. Steinbrenner Field - Tampa,Local TV: YES ----- Local Radio: WFAN 660/101.9 FM,03/16/19,03/16/19,04:05 PM,04:05 PM,False,True,03/16/19,12:05 PM,12:05 PM,FREE,BUSY
12,03/19/19,01:05 PM,01:05 PM,Rays at Yankees,George M. Steinbrenner Field - Tampa,Local TV: YES,03/19/19,03/19/19,04:05 PM,04:05 PM,False,True,03/19/19,12:05 PM,12:05 PM,FREE,BUSY
13,03/22/19,06:35 PM,06:35 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,Local TV: YES,03/22/19,03/22/19,09:35 PM,09:35 PM,False,True,03/22/19,05:35 PM,05:35 PM,FREE,BUSY
14,03/23/19,01:05 PM,01:05 PM,Blue Jays at Yankees,George M. Steinbrenner Field - Tampa,Local TV: YES- MLBN (out-of-market only) ----- Local Radio: WFAN 660/101.9 FM,03/23/19,03/23/19,04:05 PM,04:05 PM,False,True,03/23/19,12:05 PM,12:05 PM,FREE,BUSY
15,03/28/19,01:05 PM,01:05 PM,Orioles at Yankees,Yankee Stadium - Bronx,Local TV: YES- ESPN (out-of-market only) ----- Local Radio: WFAN 660/101.9 FM- WADO 1280,03/28/19,03/28/19,04:05 PM,04:05 PM,False,True,03/28/19,12:05 PM,12:05 PM,FREE,BUSY
16,03/30/19,01:05 PM,01:05 PM,Orioles at Yankees,Yankee Stadium - Bronx,Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280,03/30/19,03/30/19,04:05 PM,04:05 PM,False,True,03/30/19,12:05 PM,12:05 PM,FREE,BUSY
